100,335,1905,11.43,11.53,3.597,3.56,298.4,9.77,1.8,74.4,401
100,335,1910,11.46,12.1,3.543,3.53,306.9,9.8,1.6,74.6,401
100,335,1915,11.48,12.8,3.543,3.55,313.7,9.91,2,75.5,401
100,335,1920,11.52,13.7,3.566,3.56,329.3,9.92,1.7,75.7,904
100,335,1925,11.56,14.83,3.572,3.53,348.8,9.94,1.6,75.8,401
100,335,1930,11.6,15.85,3.648,3.55,360.1,9.94,1.2,75.9,401
100,335,1935,11.65,17.17,3.852,3.5,373.8,9.95,1.9,75.9,401
100,335,1940,11.7,18.46,3.747,3.51,394.8,9.93,2.1,75.8,401
100,335,1945,11.73,19.39,3.789,3.52,410.8,9.88,2.5,75.5,401
100,335,1950,11.77,20.48,3.813,3.5,415.7,9.87,3.1,75.4,904
100,335,1955,11.8,21.48,3.733,3.54,412.8,9.9,4.3,75.7,401
100,335,2000,11.82,22.31,3.793,3.51,412.7,9.88,2.7,75.5,401
100,335,2005,11.84,23.05,3.62,3.49,397.3,9.99,5.7,76.2,401
100,335,2010,11.87,23.81,3.618,3.48,384,10.03,6.3,76.5,401
100,335,2015,11.89,24.75,3.591,3.46,377.7,10.04,2.6,76.5,904
100,335,2020,11.91,25.46,3.411,3.48,378.5,9.99,2,76.1,401
100,335,2025,11.94,26.42,3.52,3.46,398.6,9.87,1.4,75.3,401
100,335,2030,11.97,27.54,3.587,3.46,425.9,9.75,2.4,74.5,401
100,335,2035,12,28.59,3.509,3.5,461.6,9.64,2.4,73.8,904
100,335,2040,12.03,29.64,3.482,3.53,485.1,9.58,2.1,73.5,401
100,335,2045,12.05,30.63,3.556,3.58,492.7,9.5,6.4,72.9,401
100,335,2050,12.09,32.08,3.575,3.59,497.3,9.47,2.3,72.7,904
100,335,2056,12.11,33.05,3.71,3.6,505,9.45,5.2,72.6,401
100,335,2100,12.14,34.4,3.59,3.61,509.6,9.43,10.7,72.5,401
100,335,2105,12.16,35.2,3.539,3.6,515.7,9.42,2.4,72.4,904
100,335,2110,12.18,35.88,3.521,3.61,518.5,9.45,2.4,72.7,401
100,335,2115,12.2,36.61,3.529,3.59,521.7,9.48,2.7,72.9,401
100,335,2120,12.21,37.38,3.636,3.58,522.3,9.49,6.5,73,904
100,335,2125,12.23,38.12,3.699,3.57,522.1,9.53,3.3,73.2,401
100,335,2130,12.24,38.65,3.528,3.58,522.3,9.52,14.2,73.2,401
100,335,2136,12.26,39.36,3.598,3.61,522.1,9.51,18.2,73.2,904
100,335,2140,12.26,39.7,3.472,3.62,520.4,9.48,41,73,401
100,335,2145,12.28,40.51,3.683,3.67,515.8,9.47,44.9,72.9,1001
100,335,2150,12.29,40.77,3.605,3.68,511.1,9.47,5.2,72.9,101
100,335,2155,12.3,41.23,3.558,3.7,502,9.5,31.8,73.2,101
100,335,2200,12.31,41.73,3.77,3.74,491,9.5,15.4,73.3,101
100,335,2205,12.32,42.29,3.727,3.76,477.3,9.53,17.1,73.5,101
