"step","AIC","Deviance","Resid.Dev","Resid.Df","Correlation","Slope","Res.St.Error","PRESS","scope","response"
"",325.279917775723,NA,316.541022070789,77,NA,NA,NA,NA,"","CODcens"
"+ Sag281_299",294.131334169793,35.5180314583972,281.022990612392,76,0.773566988858419,0.35612034887749,1.45137183124362,1105028762.20461," + Sag281_299","CODcens"
"+ log(A482)",228.193769291064,70.3070127311953,210.715977881196,75,0.812405259581254,0.73773933315891,0.93619092136491,2123078117.31054," + Sag281_299 + log(A482)","CODcens"
"+ log(Sag281_299)",218.80023361231,13.7629835312218,196.952994349974,74,0.846016592037997,0.777985236031042,0.863794207065769,656899518.633021," + Sag281_299 + log(A482) + log(Sag281_299)","CODcens"
"+ log(randNum)",215.055736143742,8.11394532103412,188.83904902894,73,0.835123030615201,0.799978064157012,0.826080296472565,648483510.800167," + Sag281_299 + log(A482) + log(Sag281_299) + log(randNum)","CODcens"
"- Sag281_299",213.615594513261,2.92930622198571,191.768355250926,74,0.830281841637979,0.794348569072014,0.835909524255392,1105879262.23277," + Sag281_299 + log(A482) + log(Sag281_299) + log(randNum) - Sag281_299","CODcens"
"+ Resids490",213.496665415975,4.4883769497535,187.279978301173,73,0.798093104529202,0.803889689888805,0.817969004250677,1329295252.78017," + Sag281_299 + log(A482) + log(Sag281_299) + log(randNum) - Sag281_299 + Resids490","CODcens"
"+ Sag482_500",212.666336768304,5.19977650013746,182.080201801035,72,0.783775162649927,0.81872842058765,0.796890510209479,1599231438.85888," + Sag281_299 + log(A482) + log(Sag281_299) + log(randNum) - Sag281_299 + Resids490 + Sag482_500","CODcens"
