"step","AIC","Deviance","Resid.Dev","Resid.Df","Correlation","Slope","Res.St.Error","PRESS","scope","response"
"",291.001083602775,NA,282.447751364743,70,NA,NA,NA,NA,"","CODcens"
"+ Sag281_299",261.181373393582,34.0963763282093,248.351375036534,69,0.800037656824032,0.371668155218111,1.37686504423374,596068388.548443," + Sag281_299","CODcens"
"+ log(A473)",207.809430558145,57.6486089544524,190.702766082081,68,0.792021272919403,0.72038081041717,0.929290430935083,1600662993.74389," + Sag281_299 + log(A473)","CODcens"
"+ log(Sag281_299)",201.010234282082,11.0758623950792,179.626903687002,67,0.927923152376593,0.758376525393857,0.866797168133122,195397201.629214," + Sag281_299 + log(A473) + log(Sag281_299)","CODcens"
"+ log(A476)",197.468155715024,7.81874468607478,171.808159000927,66,0.915248426120819,0.785710739552983,0.827091815203982,196483424.010387," + Sag281_299 + log(A473) + log(Sag281_299) + log(A476)","CODcens"
"- Sag281_299",196.919934834384,3.72844523837657,175.536604239304,67,0.892366965102381,0.776543122066689,0.842522315236713,478201924.452777," + Sag281_299 + log(A473) + log(Sag281_299) + log(A476) - Sag281_299","CODcens"
"+ log(Sag239_248)",194.932590959233,6.264009994167,169.272594245137,66,0.896574730040671,0.794564352985486,0.812655771976878,275719222.456677," + Sag281_299 + log(A473) + log(Sag281_299) + log(A476) - Sag281_299 + log(Sag239_248)","CODcens"
