"step","AIC","Deviance","Resid.Dev","Resid.Df","Correlation","Slope","Res.St.Error","PRESS","scope","response"
"",185.021977027266,NA,177.321681823846,45,NA,NA,NA,NA,"","CODcens"
"+ log(Sag473_491)",167.498276039545,21.3738485894309,155.947833234415,44,0.768239262224032,0.360642139897805,1.29929722905396,36107039.8777202," + log(Sag473_491)","CODcens"
"+ log(A239)",161.529722760199,9.81870088105606,146.129132353359,43,0.87844539966319,0.484795982490165,1.18365331862055,26521972.8884222," + log(Sag473_491) + log(A239)","CODcens"
"+ A302",146.308029242985,19.0718411189242,127.057291234435,42,0.803539896005883,0.654013739063782,0.977466284583774,83369827.7956423," + log(Sag473_491) + log(A239) + A302","CODcens"
"+ A494",143.153251391189,7.00492545350603,120.052365780929,41,0.886225851573647,0.700209650631655,0.918010258089509,66229208.2476283," + log(Sag473_491) + log(A239) + A302 + A494","CODcens"
"+ A500",135.107182850159,11.8962161427401,108.156149638189,40,0.909432719631283,0.768619262756522,0.818687010165297,59162156.053786," + log(Sag473_491) + log(A239) + A302 + A494 + A500","CODcens"
"- log(Sag473_491)",135.0843794149,3.82734416645123,111.98349380464,41,0.897917658298302,0.74740313882681,0.842496494485645,57145001.9578217," + log(Sag473_491) + log(A239) + A302 + A494 + A500 - log(Sag473_491)","CODcens"
"+ log(A506)",132.401683612014,6.53284340459619,105.450650400044,40,0.920815565601132,0.784251949471558,0.795459495564312,27136684.6993635," + log(Sag473_491) + log(A239) + A302 + A494 + A500 - log(Sag473_491) + log(A506)","CODcens"
"+ log(Sag281_299)",129.755869512681,6.49596170104338,98.9546886990004,39,0.884823287184825,0.810907516126624,0.751566934994341,60167822.8326249," + log(Sag473_491) + log(A239) + A302 + A494 + A500 - log(Sag473_491) + log(A506) + log(Sag281_299)","CODcens"
