"step","AIC","Deviance","Resid.Dev","Resid.Df","Correlation","Slope","Res.St.Error","PRESS","scope","response"
"",365.21181978378,NA,356.257146154824,86,NA,NA,NA,NA,"","CODcens"
"+ Sag281_299",325.52948663138,44.1596699668783,312.097476187946,85,0.739194358899683,0.390306849554763,1.44172071280281,1389785150.80137," + Sag281_299","CODcens"
"+ log(A482)",254.914796312042,75.0920271338163,237.005449054129,84,0.74833922994384,0.742079519459907,0.946509865820651,3185054173.08375," + Sag281_299 + log(A482)","CODcens"
"+ cosDY",246.166377851358,13.2257552751622,223.779693778967,83,0.672779755913885,0.779471840514147,0.883200518914815,4948782979.1664," + Sag281_299 + log(A482) + cosDY","CODcens"
"+ sinDY",227.986519038417,22.6571956274192,201.122498151548,82,0.804545386356456,0.830810109243531,0.781180561553113,1361816433.61," + Sag281_299 + log(A482) + cosDY + sinDY","CODcens"
"+ log(Sag281_299)",211.720072475103,20.7437833777925,180.378714773755,81,0.890309791831566,0.86536640120432,0.69854848572415,309038551.79706," + Sag281_299 + log(A482) + cosDY + sinDY + log(Sag281_299)","CODcens"
"+ log(A497)",206.42305191446,9.77435737512056,170.604357398635,80,0.870994479954871,0.881053173825248,0.664877966655735,395295750.142737," + Sag281_299 + log(A482) + cosDY + sinDY + log(Sag281_299) + log(A497)","CODcens"
"+ A698",197.023056513463,13.877332215476,156.727025183159,79,0.891060139112133,0.898068333770218,0.618295372916299,313064764.142116," + Sag281_299 + log(A482) + cosDY + sinDY + log(Sag281_299) + log(A497) + A698","CODcens"
"+ log(Sag239_248)",196.250936430694,5.2494568972472,151.477568285912,78,0.851468037278826,0.903729262596727,0.603912444751184,489076279.352061," + Sag281_299 + log(A482) + cosDY + sinDY + log(Sag281_299) + log(A497) + A698 + log(Sag239_248)","CODcens"
"+ log(Sag263_293)",191.306332894301,9.42194035087093,142.055627935041,77,0.805732545733037,0.913296811197522,0.576090628406504,748004450.652485," + Sag281_299 + log(A482) + cosDY + sinDY + log(Sag281_299) + log(A497) + A698 + log(Sag239_248) + log(Sag263_293)","CODcens"
