"step","AIC","Deviance","Resid.Dev","Resid.Df","Correlation","Slope","Res.St.Error","PRESS","scope","response"
"",334.791546695608,NA,326.002648386263,79,NA,NA,NA,NA,"","CODcens"
"+ Sag281_299",292.561751439141,46.6242444111398,279.378403975123,78,0.766703766789849,0.432839637131183,1.37454142405534,1579996657.59571," + Sag281_299","CODcens"
"+ log(A482)",238.208328578184,58.7478720156289,220.630531959495,77,0.807222260505452,0.726957336842587,0.962567095859669,2370968487.99583," + Sag281_299 + log(A482)","CODcens"
"+ log(Sag281_299)",227.520401689282,15.0823760435747,205.54815591592,76,0.860510018656472,0.7716509808537,0.882672634433,671949149.050943," + Sag281_299 + log(A482) + log(Sag281_299)","CODcens"
"+ sinDY",214.705567209851,17.209283634103,188.338872281817,75,0.903919249303393,0.816219422958666,0.798919575137817,244329932.902089," + Sag281_299 + log(A482) + log(Sag281_299) + sinDY","CODcens"
"+ cosDY",195.150720781245,23.9492955832786,164.389576698538,74,0.922626054939979,0.864873335705055,0.693705653263221,176250299.654209," + Sag281_299 + log(A482) + log(Sag281_299) + sinDY + cosDY","CODcens"
"+ log(A497)",189.157395283344,10.3877746525739,154.001802045964,73,0.900717994160359,0.882651341472656,0.655001276312916,247829125.655421," + Sag281_299 + log(A482) + log(Sag281_299) + sinDY + cosDY + log(A497)","CODcens"
"+ log(A476)",180.433155413762,13.1186890242543,140.88311302171,72,0.914501797228344,0.900635678430628,0.608173649146197,166580519.682047," + Sag281_299 + log(A482) + log(Sag281_299) + sinDY + cosDY + log(A497) + log(A476)","CODcens"
"+ log(Sag263_293)",177.215345877367,7.6122586910673,133.270854330643,71,0.892278495648864,0.909215161727952,0.584272718897916,226275918.977851," + Sag281_299 + log(A482) + log(Sag281_299) + sinDY + cosDY + log(A497) + log(A476) + log(Sag263_293)","CODcens"
"+ Sag263_293",174.397509558984,7.212285473056,126.058568857587,70,0.898524147410627,0.916580019466338,0.562752936854626,160625459.378448," + Sag281_299 + log(A482) + log(Sag281_299) + sinDY + cosDY + log(A497) + log(A476) + log(Sag263_293) + Sag263_293","CODcens"
"+ A560",172.625956089873,6.16600262378307,119.892566233804,69,0.876105549939037,0.922663116162579,0.545591906028902,232599647.583232," + Sag281_299 + log(A482) + log(Sag281_299) + sinDY + cosDY + log(A497) + log(A476) + log(Sag263_293) + Sag263_293 + A560","CODcens"
"+ Resids422",171.267556444462,5.75284880008292,114.139717433721,68,0.898957420934403,0.927931015263497,0.530359048835668,180964954.200624," + Sag281_299 + log(A482) + log(Sag281_299) + sinDY + cosDY + log(A497) + log(A476) + log(Sag263_293) + Sag263_293 + A560 + Resids422","CODcens"
