"step","AIC","Deviance","Resid.Dev","Resid.Df","Correlation","Slope","Res.St.Error","PRESS","scope","response"
"",355.057345419734,NA,346.195711822048,82,NA,NA,NA,NA,"","CODcens"
"+ Sag281_299",313.96209585884,45.5260663597376,300.66964546231,81,0.733875517721408,0.414107260126925,1.46640014026188,2553918831.74299," + Sag281_299","CODcens"
"+ log(A482)",255.251378598967,63.1415340587164,237.528111403594,80,0.775706511355878,0.725907280252159,1.01318930988037,3391985803.1125," + Sag281_299 + log(A482)","CODcens"
"+ cosDY",244.931262716127,14.7509326816837,222.77717872191,79,0.700725998571442,0.771526584574036,0.933803903816398,4680592375.95739," + Sag281_299 + log(A482) + cosDY","CODcens"
"+ sinDY",228.082609974454,21.2794695405155,201.497709181394,78,0.821226437217382,0.824157017574532,0.827899970492966,1444298149.75947," + Sag281_299 + log(A482) + cosDY + sinDY","CODcens"
"+ log(Sag281_299)",209.856760116948,22.6566666563497,178.841042525045,77,0.904372947607574,0.864754056470996,0.72807258163457,294373504.547026," + Sag281_299 + log(A482) + cosDY + sinDY + log(Sag281_299)","CODcens"
"+ log(A497)",204.645423332058,9.64215358373357,169.198888941311,76,0.883389603316453,0.881082369170263,0.69191192944705,380586778.556646," + Sag281_299 + log(A482) + cosDY + sinDY + log(Sag281_299) + log(A497)","CODcens"
"+ log(A476)",197.454564710853,11.6216754200483,157.577213521263,75,0.909763836946772,0.896875165227593,0.649899723434391,208386337.870893," + Sag281_299 + log(A482) + cosDY + sinDY + log(Sag281_299) + log(A497) + log(A476)","CODcens"
