"step","AIC","Deviance","Resid.Dev","Resid.Df","Correlation","Slope","Res.St.Error","PRESS","scope","response"
"",319.695378676894,NA,311.007767833186,75,NA,NA,NA,NA,"","CODcens"
"+ Sag281_299",280.658056497688,43.381127601059,267.626640232127,74,0.770163829472927,0.425744323171556,1.39383013025968,1766026090.03892," + Sag281_299","CODcens"
"+ log(A473)",227.941891459889,57.0599704596532,210.566669772474,73,0.826440890526368,0.728268418098214,0.968746480458456,2428887229.16247," + Sag281_299 + log(A473)","CODcens"
"+ log(Sag281_299)",218.928013653929,13.3576832278137,197.20898654466,72,0.888077057222123,0.769680863486909,0.894323503838863,647384149.826652," + Sag281_299 + log(A473) + log(Sag281_299)","CODcens"
"+ log(Sag263_281)",213.912188203755,9.35963087202776,187.849355672633,71,0.869181107095437,0.79515304579326,0.847412346593587,714547059.556147," + Sag281_299 + log(A473) + log(Sag281_299) + log(Sag263_281)","CODcens"
"+ Sag263_293",205.850642529348,12.40535109626,175.444004576373,70,0.889012885200541,0.825044333108707,0.787313329854934,337931415.035016," + Sag281_299 + log(A473) + log(Sag281_299) + log(Sag263_281) + Sag263_293","CODcens"
"+ A581",200.185090908338,10.0093570428644,165.434647533508,69,0.864240453240981,0.846470942901854,0.743019874736523,379970261.566112," + Sag281_299 + log(A473) + log(Sag281_299) + log(Sag263_281) + Sag263_293 + A581","CODcens"
"+ A587",193.002777253843,11.5261190763484,153.90852845716,68,0.807486688655302,0.867992648745298,0.69441671440926,667904080.972468," + Sag281_299 + log(A473) + log(Sag281_299) + log(Sag263_281) + Sag263_293 + A581 + A587","CODcens"
"+ log(A395)",188.997178773263,8.34940390243386,145.559124554726,67,0.882827028882845,0.882204267171499,0.662588891428989,280959886.281782," + Sag281_299 + log(A473) + log(Sag281_299) + log(Sag263_281) + Sag263_293 + A581 + A587 + log(A395)","CODcens"
"+ Resids422",187.839437521488,5.50154667362841,140.057577881098,66,0.905329180296402,0.890499910052496,0.644089650170868,210313589.307958," + Sag281_299 + log(A473) + log(Sag281_299) + log(Sag263_281) + Sag263_293 + A581 + A587 + log(A395) + Resids422","CODcens"
"+ log(A374)",180.724768634596,11.4584743087459,128.599103572352,65,0.848252046333654,0.905569270882509,0.602417782888309,441955602.96453," + Sag281_299 + log(A473) + log(Sag281_299) + log(Sag263_281) + Sag263_293 + A581 + A587 + log(A395) + Resids422 + log(A374)","CODcens"
"+ log(A413)",177.461785323698,7.60678873275113,120.992314839601,64,0.889699848043039,0.914557288123105,0.577778284257255,252026999.948862," + Sag281_299 + log(A473) + log(Sag281_299) + log(Sag263_281) + Sag263_293 + A581 + A587 + log(A395) + Resids422 + log(A374) + log(A413)","CODcens"
"+ A608",170.515834802986,11.2897559425661,109.702558897034,63,0.817667766846466,0.926203810102579,0.541115199132348,551966551.114442," + Sag281_299 + log(A473) + log(Sag281_299) + log(Sag263_281) + Sag263_293 + A581 + A587 + log(A395) + Resids422 + log(A374) + log(A413) + A608","CODcens"
"- log(A473)",168.472852902455,2.3008235213223,112.003382418357,64,0.835840161616548,0.923809629067343,0.545018921657417,449469438.918148," + Sag281_299 + log(A473) + log(Sag281_299) + log(Sag263_281) + Sag263_293 + A581 + A587 + log(A395) + Resids422 + log(A374) + log(A413) + A608 - log(A473)","CODcens"
"+ Sag473_491",165.952778062261,6.86388026204781,105.139502156309,63,0.79184050860048,0.93072549990393,0.525317034200553,701937768.786528," + Sag281_299 + log(A473) + log(Sag281_299) + log(Sag263_281) + Sag263_293 + A581 + A587 + log(A395) + Resids422 + log(A374) + log(A413) + A608 - log(A473) + Sag473_491","CODcens"
"+ A635",165.364095546562,4.93248793755254,100.207014218756,62,0.851786556977967,0.934945343556984,0.512780044953636,355445518.615609," + Sag281_299 + log(A473) + log(Sag281_299) + log(Sag263_281) + Sag263_293 + A581 + A587 + log(A395) + Resids422 + log(A374) + log(A413) + A608 - log(A473) + Sag473_491 + A635","CODcens"
"+ A599",164.877237890234,4.83066307818162,95.3763511405748,61,0.881439280348569,0.938853867651819,0.500936436040987,235717080.226851," + Sag281_299 + log(A473) + log(Sag281_299) + log(Sag263_281) + Sag263_293 + A581 + A587 + log(A395) + Resids422 + log(A374) + log(A413) + A608 - log(A473) + Sag473_491 + A635 + A599","CODcens"
"+ A530",163.268855282543,5.95218802954406,89.4241631110307,60,0.852547003138783,0.943259990845139,0.485878652035303,349249412.356264," + Sag281_299 + log(A473) + log(Sag281_299) + log(Sag263_281) + Sag263_293 + A581 + A587 + log(A395) + Resids422 + log(A374) + log(A413) + A608 - log(A473) + Sag473_491 + A635 + A599 + A530","CODcens"
"+ A692",162.580254096154,5.03240660824267,84.3917565027881,59,0.919591679246504,0.946578635371502,0.474160368404821,137875475.465008," + Sag281_299 + log(A473) + log(Sag281_299) + log(Sag263_281) + Sag263_293 + A581 + A587 + log(A395) + Resids422 + log(A374) + log(A413) + A608 - log(A473) + Sag473_491 + A635 + A599 + A530 + A692","CODcens"
