"step","AIC","Deviance","Resid.Dev","Resid.Df","Correlation","Slope","Res.St.Error","PRESS","scope","response"
"",381.42105650744,NA,372.355857521134,91,NA,NA,NA,NA,"","CODcens"
"+ Sag281_299",339.212413120483,46.7412428801099,325.614614641024,90,0.744666013703245,0.391190789275895,1.40853149341464,1892396456.19542," + Sag281_299","CODcens"
"+ log(A473)",272.765918946168,70.9790936674686,254.635520973555,89,0.794416064509543,0.717919760793303,0.967020635045191,2992618295.00244," + Sag281_299 + log(A473)","CODcens"
"+ log(Sag281_299)",262.400917495909,14.8976009434128,239.737920030142,88,0.878986485596178,0.758073094870796,0.897588619598411,706743088.456143," + Sag281_299 + log(A473) + log(Sag281_299)","CODcens"
"+ Sag473_491",260.573394543788,6.3601224452739,233.377797584868,87,0.855412060785788,0.776101157211768,0.872329680958814,847429365.7824," + Sag281_299 + log(A473) + log(Sag281_299) + Sag473_491","CODcens"
