"step","AIC","Deviance","Resid.Dev","Resid.Df","Correlation","Slope","Res.St.Error","PRESS","scope","response"
"",381.42105650744,NA,372.355857521134,91,NA,NA,NA,NA,"","CODcens"
"+ Sag281_299",339.212413120483,46.7412428801099,325.614614641024,90,0.744666013703245,0.391190789275895,1.40853149341464,1892396456.19542," + Sag281_299","CODcens"
"+ log(A473)",272.765918946168,70.9790936674686,254.635520973555,89,0.794416064509543,0.717919760793303,0.967020635045191,2992618295.00244," + Sag281_299 + log(A473)","CODcens"
"+ cosDY",254.904429113222,22.394089326099,232.241431647456,88,0.752034371028805,0.779689705016586,0.862131796416924,3135151862.5007," + Sag281_299 + log(A473) + cosDY","CODcens"
"+ sinDY",240.000236214086,19.4367923922899,212.804639255166,87,0.820108648017511,0.822731417990558,0.780987425030394,1416763070.54583," + Sag281_299 + log(A473) + cosDY + sinDY","CODcens"
"+ log(Sag281_299)",223.756927416012,20.775908291227,192.028730963939,86,0.910459274370911,0.857313648499051,0.70245052037042,280596835.462168," + Sag281_299 + log(A473) + cosDY + sinDY + log(Sag281_299)","CODcens"
"+ Sag506_530",218.634621839645,9.65490506952031,182.373825894419,85,0.914346384292327,0.872822595861094,0.670784071755083,231416330.987292," + Sag281_299 + log(A473) + cosDY + sinDY + log(Sag281_299) + Sag506_530","CODcens"
"+ Sag473_491",214.73295607331,8.4342652594882,173.939560634931,84,0.903498951521643,0.884985955178164,0.644806190793848,262550967.046685," + Sag281_299 + log(A473) + cosDY + sinDY + log(Sag281_299) + Sag506_530 + Sag473_491","CODcens"
