"step","AIC","Deviance","Resid.Dev","Resid.Df","Correlation","Slope","Res.St.Error","PRESS","scope","response"
"",391.964226449962,NA,382.835530067026,94,NA,NA,NA,NA,"","CODcens"
"+ Sag281_299",343.169573707994,53.3590009334363,329.47652913359,93,0.779508896780666,0.422216259131476,1.36017281378058,1556330547.40567," + Sag281_299","CODcens"
"+ log(A473)",277.605891709464,70.1280301899971,259.348498943593,92,0.821836335546722,0.723131499119124,0.949052887648134,3009213148.91054," + Sag281_299 + log(A473)","CODcens"
"+ log(Sag281_299)",266.665441373058,15.5047985278742,243.843700415719,91,0.915492022172501,0.762811579041808,0.880170664833956,575992441.602661," + Sag281_299 + log(A473) + log(Sag281_299)","CODcens"
"+ log(Sag263_293)",251.749722511279,19.4800670532468,224.363633362472,90,0.906833884776996,0.806474614076868,0.79960805685505,474437209.07852," + Sag281_299 + log(A473) + log(Sag281_299) + log(Sag263_293)","CODcens"
"+ Sag263_293",238.55629131708,17.7577793856665,206.605853976805,89,0.912910818104281,0.839279460343643,0.733009133066562,259444771.782997," + Sag281_299 + log(A473) + log(Sag281_299) + log(Sag263_293) + Sag263_293","CODcens"
"+ A560",235.680591828723,7.44004767982511,199.16580629698,88,0.896944176878375,0.851143400801749,0.709098572519211,285272435.043999," + Sag281_299 + log(A473) + log(Sag281_299) + log(Sag263_293) + Sag263_293 + A560","CODcens"
"+ A599",234.364629802341,5.88031021784954,193.285496079131,87,0.833705098446444,0.859611577898038,0.691606897044302,538415836.073851," + Sag281_299 + log(A473) + log(Sag281_299) + log(Sag263_293) + Sag263_293 + A560 + A599","CODcens"
