#  RDB file created by NWIS qwflatout program on nwiswi at 06/02/2014 15:47:50
#
# AGNCY  Agency code
# BDATE  Begin date
# BTIME  Begin time
# EDATE  End date
# ETIME  End time
# MEDIM  Medium code
# PCODE  Parameter code
# REMRK  Remark code
# SAMPL  Record number
# SCMFL  Field sample comment
# STAID  Station number
# STYPE  Sample type code
# VALUE  Parameter value
# RPLEV  Reporting level
#
AGNCY	BDATE	BTIME	EDATE	ETIME	MEDIM	PCODE	REMRK	SAMPL	SCMFL	STAID	STYPE	VALUE	RPLEV
10S	10S	10S	10D	10S	10S	10S	10S	10S	50S	20S	10S	10N	10S
USGS	20000119	2045	20000120	0600	WS	99908		00001629	LK-S18	040871488	9	490	
USGS	20000119	2310			WS	00028		00001630		040871488	9	85543	
USGS	20000119	2310			WS	00061		00001630		040871488	9	1.7	
USGS	20000119	2310			WS	00556	<	00001630		040871488	9	1	
USGS	20000119	2310			WS	30209		00001630		040871488	9	.05	
USGS	20000119	2310			WS	82398		00001630		040871488	9	70	
USGS	20000213	1050	20000214	0450	WS	00028		00002284	LK-S19	040871488	9	85543	
USGS	20000213	1050	20000214	0450	WS	00310	<	00002284	LK-S19	040871488	9	200	
USGS	20000213	1050	20000214	0450	WS	00335		00002284	LK-S19	040871488	9	350	
USGS	20000213	1050	20000214	0450	WS	00403		00002284	LK-S19	040871488	9	7.6	
USGS	20000213	1050	20000214	0450	WS	00530		00002284	LK-S19	040871488	9	45	
USGS	20000213	1050	20000214	0450	WS	00605		00002284	LK-S19	040871488	9	1.4	
USGS	20000213	1050	20000214	0450	WS	00608		00002284	LK-S19	040871488	9	.022	
USGS	20000213	1050	20000214	0450	WS	00625		00002284	LK-S19	040871488	9	1.4	
USGS	20000213	1050	20000214	0450	WS	00665		00002284	LK-S19	040871488	9	.184	
USGS	20000213	1050	20000214	0450	WS	00916		00002284	LK-S19	040871488	9	140	
USGS	20000213	1050	20000214	0450	WS	00921		00002284	LK-S19	040871488	9	39	
USGS	20000213	1050	20000214	0450	WS	01094		00002284	LK-S19	040871488	9	140	
USGS	20000213	1050	20000214	0450	WS	01114		00002284	LK-S19	040871488	9	12	
USGS	20000213	1050	20000214	0450	WS	01119		00002284	LK-S19	040871488	9	16	
USGS	20000213	1050	20000214	0450	WS	71846		00002284	LK-S19	040871488	9	.028	
USGS	20000213	1050	20000214	0450	WS	82398		00002284	LK-S19	040871488	9	50	
USGS	20000213	1050	20000214	0450	WS	91075	<	00002284	LK-S19	040871488	9	18.0	
USGS	20000213	1050	20000214	0450	WS	91080		00002284	LK-S19	040871488	9	140	
USGS	20000213	1050	20000214	0450	WS	99904		00002284	LK-S19	040871488	9	330	
USGS	20000213	1050	20000214	0450	WS	99908		00002284	LK-S19	040871488	9	520	
USGS	20000223	1700			WS	00028		00002285	LK-S20G	040871488	9	85543	
USGS	20000223	1700			WS	00061		00002285	LK-S20G	040871488	9	48	
USGS	20000223	1700			WS	00556		00002285	LK-S20G	040871488	9	3	
USGS	20000223	1700			WS	30209		00002285	LK-S20G	040871488	9	1.4	
USGS	20000223	1700			WS	82398		00002285	LK-S20G	040871488	9	70	
USGS	20000222	1140	20000224	1635	WS	00028		00002286	LK-S20	040871488	9	85543	
USGS	20000222	1140	20000224	1635	WS	00310		00002286	LK-S20	040871488	9	83.6	
USGS	20000222	1140	20000224	1635	WS	00335		00002286	LK-S20	040871488	9	230	
USGS	20000222	1140	20000224	1635	WS	00403		00002286	LK-S20	040871488	9	7.4	
USGS	20000222	1140	20000224	1635	WS	00530		00002286	LK-S20	040871488	9	263	
USGS	20000222	1140	20000224	1635	WS	00605		00002286	LK-S20	040871488	9	4.6	
USGS	20000222	1140	20000224	1635	WS	00608		00002286	LK-S20	040871488	9	.065	
USGS	20000222	1140	20000224	1635	WS	00625		00002286	LK-S20	040871488	9	4.7	
USGS	20000222	1140	20000224	1635	WS	00665		00002286	LK-S20	040871488	9	.450	
USGS	20000222	1140	20000224	1635	WS	00916		00002286	LK-S20	040871488	9	85.0	
USGS	20000222	1140	20000224	1635	WS	00921		00002286	LK-S20	040871488	9	27	
USGS	20000222	1140	20000224	1635	WS	01094		00002286	LK-S20	040871488	9	210	
USGS	20000222	1140	20000224	1635	WS	01114		00002286	LK-S20	040871488	9	33	
USGS	20000222	1140	20000224	1635	WS	01119		00002286	LK-S20	040871488	9	31	
USGS	20000222	1140	20000224	1635	WS	71846		00002286	LK-S20	040871488	9	.084	
USGS	20000222	1140	20000224	1635	WS	82398		00002286	LK-S20	040871488	9	50	
USGS	20000222	1140	20000224	1635	WS	91075	<	00002286	LK-S20	040871488	9	18.0	
USGS	20000222	1140	20000224	1635	WS	91080	<	00002286	LK-S20	040871488	9	18.0	
USGS	20000222	1140	20000224	1635	WS	99904		00002286	LK-S20	040871488	9	11000	
USGS	20000222	1140	20000224	1635	WS	99908		00002286	LK-S20	040871488	9	320	
USGS	20000306	1300			WS	00028		00002287		040871488	9	85543	
USGS	20000306	1300			WS	00061		00002287		040871488	9	6.2	
USGS	20000306	1300			WS	00310	>	00002287		040871488	9	18.6	
USGS	20000306	1300			WS	00335		00002287		040871488	9	49	
USGS	20000306	1300			WS	00403		00002287		040871488	9	8.0	
USGS	20000306	1300			WS	00530		00002287		040871488	9	36	
USGS	20000306	1300			WS	00556		00002287		040871488	9	5	
USGS	20000306	1300			WS	00605		00002287		040871488	9	.44	
USGS	20000306	1300			WS	00608		00002287		040871488	9	.020	
USGS	20000306	1300			WS	00625		00002287		040871488	9	.46	
USGS	20000306	1300			WS	00665		00002287		040871488	9	.078	
USGS	20000306	1300			WS	00916		00002287		040871488	9	95.0	
USGS	20000306	1300			WS	00921		00002287		040871488	9	44	
USGS	20000306	1300			WS	01094		00002287		040871488	9	30	
USGS	20000306	1300			WS	01114		00002287		040871488	9	2	
USGS	20000306	1300			WS	01119		00002287		040871488	9	4	
USGS	20000306	1300			WS	30209		00002287		040871488	9	.18	
USGS	20000306	1300			WS	71846		00002287		040871488	9	.026	
USGS	20000306	1300			WS	82398		00002287		040871488	9	70	
USGS	20000306	1300			WS	91075	<	00002287		040871488	9	18.0	
USGS	20000306	1300			WS	91080	<	00002287		040871488	9	18.0	
USGS	20000306	1300			WS	99908		00002287		040871488	9	420	
USGS	20000406	1212			WS	00028		00002408		040871488	9	1028	
USGS	20000406	1212			WS	00061		00002408		040871488	9	3.1	
USGS	20000406	1212			WS	30209		00002408		040871488	9	.09	
USGS	20000406	1212			WS	82398		00002408		040871488	9	70	
USGS	20000406	1212			WS	99920		00002408		040871488	9	4700.0	
USGS	20000406	1212			WS	99921		00002408		040871488	9	80.000	
USGS	20000406	1212			WS	99922		00002408		040871488	9	40.000	
USGS	20000407	1540	20000408	0725	WS	00028		00002424	LK-S22	040871488	9	85543	
USGS	20000407	1540	20000408	0725	WS	00310		00002424	LK-S22	040871488	9	307	
USGS	20000407	1540	20000408	0725	WS	00335		00002424	LK-S22	040871488	9	560	
USGS	20000407	1540	20000408	0725	WS	00403		00002424	LK-S22	040871488	9	7.8	
USGS	20000407	1540	20000408	0725	WS	00530		00002424	LK-S22	040871488	9	30	
USGS	20000407	1540	20000408	0725	WS	00605		00002424	LK-S22	040871488	9	1.0	
USGS	20000407	1540	20000408	0725	WS	00608		00002424	LK-S22	040871488	9	.220	
USGS	20000407	1540	20000408	0725	WS	00625		00002424	LK-S22	040871488	9	1.2	
USGS	20000407	1540	20000408	0725	WS	00665		00002424	LK-S22	040871488	9	.080	
USGS	20000407	1540	20000408	0725	WS	00916		00002424	LK-S22	040871488	9	52.0	
USGS	20000407	1540	20000408	0725	WS	00921		00002424	LK-S22	040871488	9	17	
USGS	20000407	1540	20000408	0725	WS	01094		00002424	LK-S22	040871488	9	90	
USGS	20000407	1540	20000408	0725	WS	01114		00002424	LK-S22	040871488	9	11	
USGS	20000407	1540	20000408	0725	WS	01119		00002424	LK-S22	040871488	9	11	
USGS	20000407	1540	20000408	0725	WS	71846		00002424	LK-S22	040871488	9	.283	
USGS	20000407	1540	20000408	0725	WS	82398		00002424	LK-S22	040871488	9	50	
USGS	20000407	1540	20000408	0725	WS	91075		00002424	LK-S22	040871488	9	35.0	
USGS	20000407	1540	20000408	0725	WS	91080		00002424	LK-S22	040871488	9	250	
USGS	20000407	1540	20000408	0725	WS	99904		00002424	LK-S22	040871488	9	1800	
USGS	20000407	1540	20000408	0725	WS	99908		00002424	LK-S22	040871488	9	200	
USGS	20000407	1855			WS	00028		00002425		040871488	9	85543	
USGS	20000407	1855			WS	00061		00002425		040871488	9	35	
USGS	20000407	1855			WS	00556	M	00002425		040871488	9		
USGS	20000407	1855			WS	30209		00002425		040871488	9	.99	
USGS	20000407	1855			WS	82398		00002425		040871488	9	70	
USGS	20000224	1815	20000228	0945	WS	00028		00002850	LK-S21	040871488	9	85543	
USGS	20000224	1815	20000228	0945	WS	00310		00002850	LK-S21	040871488	9	39.2	
USGS	20000224	1815	20000228	0945	WS	00335		00002850	LK-S21	040871488	9	99	
USGS	20000224	1815	20000228	0945	WS	00530		00002850	LK-S21	040871488	9	12	
USGS	20000224	1815	20000228	0945	WS	00605	<	00002850	LK-S21	040871488	9	.92	
USGS	20000224	1815	20000228	0945	WS	00608	<	00002850	LK-S21	040871488	9	.013	
USGS	20000224	1815	20000228	0945	WS	00625		00002850	LK-S21	040871488	9	.92	
USGS	20000224	1815	20000228	0945	WS	71846	<	00002850	LK-S21	040871488	9	.017	
USGS	20000224	1815	20000228	0945	WS	82398		00002850	LK-S21	040871488	9	50	
USGS	20000224	1815	20000228	0945	WS	91075	<	00002850	LK-S21	040871488	9	18.0	
USGS	20000224	1815	20000228	0945	WS	91080		00002850	LK-S21	040871488	9	36.0	
USGS	20000224	1815	20000228	0945	WS	99904		00002850	LK-S21	040871488	9	4800	
USGS	20000525	0956			WS	00028		00006557		040871488	9	1028	
USGS	20000525	0956			WS	00061		00006557		040871488	9	7.4	
USGS	20000525	0956			WS	30209		00006557		040871488	9	.21	
USGS	20000525	0956			WS	82398		00006557		040871488	9	70	
USGS	20000525	0956			WS	99920		00006557		040871488	9	9200.0	
USGS	20000525	0956			WS	99921		00006557		040871488	9	10.000	
USGS	20000525	0956			WS	99922		00006557		040871488	9	10.000	
USGS	20000905	1222			WS	00028		00007648	LK-B16	040871488	9	85543	
USGS	20000905	1222			WS	00061		00007648	LK-B16	040871488	9	4.9	
USGS	20000905	1222			WS	00310		00007648	LK-B16	040871488	9	.6	
USGS	20000905	1222			WS	00335		00007648	LK-B16	040871488	9	16	
USGS	20000905	1222			WS	00403		00007648	LK-B16	040871488	9	8.3	
USGS	20000905	1222			WS	00530	<	00007648	LK-B16	040871488	9	5	
USGS	20000905	1222			WS	00556		00007648	LK-B16	040871488	9	4	
USGS	20000905	1222			WS	00605		00007648	LK-B16	040871488	9	.28	
USGS	20000905	1222			WS	00608		00007648	LK-B16	040871488	9	.061	
USGS	20000905	1222			WS	00625		00007648	LK-B16	040871488	9	.34	
USGS	20000905	1222			WS	00665		00007648	LK-B16	040871488	9	.060	
USGS	20000905	1222			WS	00916		00007648	LK-B16	040871488	9	84.0	
USGS	20000905	1222			WS	00921		00007648	LK-B16	040871488	9	37	
USGS	20000905	1222			WS	01094	<	00007648	LK-B16	040871488	9	20	
USGS	20000905	1222			WS	01114		00007648	LK-B16	040871488	9	1	
USGS	20000905	1222			WS	01119		00007648	LK-B16	040871488	9	3	
USGS	20000905	1222			WS	30209		00007648	LK-B16	040871488	9	.14	
USGS	20000905	1222			WS	71846		00007648	LK-B16	040871488	9	.079	
USGS	20000905	1222			WS	82398		00007648	LK-B16	040871488	9	70	
USGS	20000905	1222			WS	91075	<	00007648	LK-B16	040871488	9	18.0	
USGS	20000905	1222			WS	91080	<	00007648	LK-B16	040871488	9	18.0	
USGS	20000905	1222			WS	99908		00007648	LK-B16	040871488	9	360	
USGS	20000905	1222			WS	99920		00007648	LK-B16	040871488	9	120.00	
USGS	20000905	1222			WS	99921		00007648	LK-B16	040871488	9	150.00	
USGS	20000905	1222			WS	99922	<	00007648	LK-B16	040871488	9	10.000	
USGS	20000922	1250	20000922	2205	WS	00028		00008268	LK-S23	040871488	9	85543	
USGS	20000922	1250	20000922	2205	WS	00335		00008268	LK-S23	040871488	9	39	
USGS	20000922	1250	20000922	2205	WS	00403		00008268	LK-S23	040871488	9	7.6	
USGS	20000922	1250	20000922	2205	WS	00530		00008268	LK-S23	040871488	9	164	
USGS	20000922	1250	20000922	2205	WS	00605		00008268	LK-S23	040871488	9	1.3	
USGS	20000922	1250	20000922	2205	WS	00608		00008268	LK-S23	040871488	9	.172	
USGS	20000922	1250	20000922	2205	WS	00625		00008268	LK-S23	040871488	9	1.5	
USGS	20000922	1250	20000922	2205	WS	00665		00008268	LK-S23	040871488	9	.255	
USGS	20000922	1250	20000922	2205	WS	00916		00008268	LK-S23	040871488	9	35.0	
USGS	20000922	1250	20000922	2205	WS	00921		00008268	LK-S23	040871488	9	13	
USGS	20000922	1250	20000922	2205	WS	01094		00008268	LK-S23	040871488	9	100	
USGS	20000922	1250	20000922	2205	WS	01114		00008268	LK-S23	040871488	9	20	
USGS	20000922	1250	20000922	2205	WS	01119		00008268	LK-S23	040871488	9	20	
USGS	20000922	1250	20000922	2205	WS	71846		00008268	LK-S23	040871488	9	.222	
USGS	20000922	1250	20000922	2205	WS	82398		00008268	LK-S23	040871488	9	50	
USGS	20000922	1250	20000922	2205	WS	91075	<	00008268	LK-S23	040871488	9	18.0	
USGS	20000922	1250	20000922	2205	WS	91080		00008268	LK-S23	040871488	9	24.0	
USGS	20000922	1250	20000922	2205	WS	99904		00008268	LK-S23	040871488	9	5600	
USGS	20000922	1250	20000922	2205	WS	99908		00008268	LK-S23	040871488	9	140	
USGS	20000922	1742			WS	00028		00008332		040871488	9	85543	
USGS	20000922	1742			WS	00061		00008332		040871488	9	176	
USGS	20000922	1742			WS	00556		00008332		040871488	9	2	
USGS	20000922	1742			WS	30209		00008332		040871488	9	5.0	
USGS	20000922	1742			WS	82398		00008332		040871488	9	70	
USGS	20001211	1425	20001212	0935	WS	00028		00100300	LK-S24	040871488	9	85543	
USGS	20001211	1425	20001212	0935	WS	00310		00100300	LK-S24	040871488	9	204	
USGS	20001211	1425	20001212	0935	WS	00335		00100300	LK-S24	040871488	9	380	
USGS	20001211	1425	20001212	0935	WS	00403		00100300	LK-S24	040871488	9	7.9	
USGS	20001211	1425	20001212	0935	WS	00605		00100300	LK-S24	040871488	9	.93	
USGS	20001211	1425	20001212	0935	WS	00608		00100300	LK-S24	040871488	9	.082	
USGS	20001211	1425	20001212	0935	WS	00625		00100300	LK-S24	040871488	9	1.0	
USGS	20001211	1425	20001212	0935	WS	00939		00100300	LK-S24	040871488	9	.90	
USGS	20001211	1425	20001212	0935	WS	71846		00100300	LK-S24	040871488	9	.106	
USGS	20001211	1425	20001212	0935	WS	82398		00100300	LK-S24	040871488	9	50	
USGS	20001211	1425	20001212	0935	WS	91075	<	00100300	LK-S24	040871488	9	18.0	
USGS	20001211	1425	20001212	0935	WS	91080		00100300	LK-S24	040871488	9	130	
USGS	20001211	1425	20001212	0935	WS	99220		00100300	LK-S24	040871488	9	1200	
USGS	20001211	1425	20001212	0935	WS	99904		00100300	LK-S24	040871488	9	170	
USGS	20010103	1314			WS	00028		00100321	LK-B17	040871488	9	85543	
USGS	20010103	1314			WS	00061		00100321	LK-B17	040871488	9	4.8	
USGS	20010103	1314			WS	00310		00100321	LK-B17	040871488	9	66.7	
USGS	20010103	1314			WS	00335		00100321	LK-B17	040871488	9	120	
USGS	20010103	1314			WS	00403		00100321	LK-B17	040871488	9	7.6	
USGS	20010103	1314			WS	00605		00100321	LK-B17	040871488	9	.48	
USGS	20010103	1314			WS	00608		00100321	LK-B17	040871488	9	.072	
USGS	20010103	1314			WS	00625		00100321	LK-B17	040871488	9	.55	
USGS	20010103	1314			WS	30209		00100321	LK-B17	040871488	9	.14	
USGS	20010103	1314			WS	71846		00100321	LK-B17	040871488	9	.093	
USGS	20010103	1314			WS	82398		00100321	LK-B17	040871488	9	10	
USGS	20010103	1314			WS	91075	<	00100321	LK-B17	040871488	9	18.0	
USGS	20010103	1314			WS	91080		00100321	LK-B17	040871488	9	47.0	
USGS	20010114	0900	20010114	1620	WS	00028		00100454	LK-S26	040871488	9	85543	
USGS	20010114	0900	20010114	1620	WS	00310		00100454	LK-S26	040871488	9	230	
USGS	20010114	0900	20010114	1620	WS	00335		00100454	LK-S26	040871488	9	450	
USGS	20010114	0900	20010114	1620	WS	00403		00100454	LK-S26	040871488	9	7.3	
USGS	20010114	0900	20010114	1620	WS	00417		00100454	LK-S26	040871488	9	127	
