Wavelength,OrangeII5,SunsetYellow5,Tartrazine5,Erioglycine5
643,-0.000162688,-3.86799E-05,-0.000239184,0.087097594
644,-8.33786E-05,0.000100443,1.00358E-05,0.082594962
645,0.000254134,0.000132643,1.39181E-05,0.07800068
646,-9.73907E-05,-8.90805E-05,0.000111271,0.073415243
647,3.64407E-05,4.33498E-05,-1.88471E-05,0.068540984
648,2.53727E-05,1.51423E-05,-3.8153E-05,0.064181537
649,0.000140721,6.90747E-05,-5.43528E-05,0.059608833
650,3.1217E-05,-9.28577E-05,-0.000100257,0.055439257
651,5.27846E-05,-2.25857E-05,4.06807E-05,0.051350162
652,-0.000121071,-7.16428E-05,9.00432E-05,0.047577788
653,0.000134824,8.94693E-05,0.000133431,0.04387216
654,-2.7998E-05,-5.141E-05,8.53469E-06,0.040583012
655,0.000118735,-3.28323E-05,-6.92581E-05,0.037276828
656,-9.5581E-05,-7.56271E-05,9.15705E-05,0.034343385
657,0.00014636,4.88881E-05,0.000108371,0.031679277
658,7.71981E-05,-0.000240092,-0.000186568,0.02881311
659,-0.000119726,9.21093E-05,-8.92864E-05,0.026275511
660,-0.000260125,-0.000153496,2.96545E-05,0.02407289
661,-1.03119E-05,0.000198058,-5.80343E-06,0.021954019
662,1.28051E-05,0.000108001,0.000147359,0.020124341
663,-0.000110161,-3.44365E-05,-9.63245E-05,0.018177885
664,-3.52377E-05,-2.30515E-05,3.78853E-05,0.016524694
665,3.47339E-05,7.62696E-05,2.72215E-05,0.015102626
666,-0.000318577,-0.000111692,-0.000277879,0.013581547
667,-7.8725E-05,-2.7709E-05,2.24592E-05,0.012709363
668,-1.53282E-05,7.91683E-05,-1.84848E-05,0.011167901
669,1.51324E-05,6.51408E-05,-4.44674E-05,0.010262817
670,-0.000188122,-9.38908E-06,3.50382E-05,0.009376484
671,-4.34597E-05,-6.80144E-06,-7.74351E-05,0.00853634
672,-9.58912E-05,-0.000180397,-9.15634E-05,0.007715886
673,-0.000125775,4.38157E-05,-0.000113298,0.00691575
674,-0.0001326,-0.000144597,-0.00027581,0.006345352
675,7.1767E-05,-0.000120332,-0.00010005,0.005781994
676,-0.000291859,-0.000190226,-1.67767E-05,0.005160054
677,6.3905E-05,-0.000106466,6.19056E-05,0.004857699
678,-5.55599E-05,-0.00022235,-0.000173788,0.004263288
679,-0.000131204,2.58557E-05,3.13628E-05,0.003770116
680,-4.54247E-05,-0.000242626,-3.62898E-05,0.003617321
681,-0.000168065,-0.000199848,-0.000163129,0.003145757
682,5.96637E-05,0.000167692,8.09572E-05,0.002737454
683,3.14238E-05,-0.000176776,-0.000105484,0.002704308
684,4.76641E-05,1.93862E-05,-4.23454E-05,0.002383259
685,0.000101354,-0.000148426,-0.000290863,0.002237115
686,-0.000117503,-0.000104603,7.21561E-05,0.001802512
687,8.39741E-05,-5.13065E-05,-2.00893E-05,0.002060237
688,-0.000160827,-8.1112E-05,-6.03046E-05,0.001437162
689,-0.000280024,-8.40614E-05,-0.000163336,0.001563819
690,-0.000223686,0.000105775,-1.30017E-06,0.001251371
691,-0.00010282,4.81117E-05,-9.94295E-05,0.00108444
692,-0.000256714,1.27615E-05,2.82051E-05,0.000924107
693,-0.000137201,6.46749E-05,3.96454E-05,0.001139826
694,-5.18885E-05,0.000224155,0.000252873,0.000809794
695,8.68191E-05,-0.000139423,-0.000171977,0.000872327
696,0.000118787,9.80105E-05,8.7351E-05,0.000576387
697,-2.69637E-05,-0.000216453,-8.58707E-05,0.000575403
