Site,Storm ID,Volume (liters),EG+PG (kg),Sample Start Date,Sample End Date,recordNo
OUT,S68D,13157424.35,473.67,3/26/2008 19:55,3/27/2008 5:35,00801073
OUT,S71,8817867.09,6860.3,11/30/2008 15:25,12/1/2008 12:10,00900238
OUT,S72ac,4008250.12,3487.18,12/8/2008 15:45,12/9/2008 18:25,00900270
OUT,S72d,1916201.24,1264.69,12/9/2008 19:35,12/10/2008 8:00,00900273
OUT,S73,1154194.81,230.84,1/9/2009 6:10,1/9/2009 16:25,00900532
OUT,S74,7050329.31,5851.77,2/27/2009 6:20,2/27/2009 14:45,00900879
OUT,S75,8623330.33,26042.46,3/28/2009 19:00,3/29/2009 17:25,00901429
OUT,S76,5104395.38,306.26,4/21/2009 7:20,4/21/2009 12:55,00901933
OUT,S77,8961716.69,358.47,7/15/2009 4:40,7/15/2009 12:30,00903772
OUT,S78,21917241.9,21698.07,12/8/2009 9:00,12/9/2009 5:23,01000304
OUT,S79,61136079.15,9170.41,1/23/2010 14:40,1/25/2010 2:05,01000418
OUT,S80,2548516.5,1503.62,2/9/2010 4:05,2/10/2010 11:05,01000484
OUT,S81,27835463.55,3340.26,3/9/2010 16:20,3/11/2010 4:30,01000876
OUT,S82,6286340.7,490.33,4/8/2010 5:20,4/8/2010 12:45,01001021
OUT,S83,6711093.45,268.44,9/1/2010 3:30,9/1/2010 4:35,01003629
OUT,S84,26617839,1064.71,10/26/2010 7:00,10/26/2010 12:30,01100074
OUT,S85,991089.75,138.75,12/20/2010 17:50,12/21/2010 12:55,01100160
OUT,S86,2010496.35,5669.6,1/31/2011 9:35,2/2/2011 13:20,01100299
OUT,S87,12600998.25,38055.01,2/20/2011 9:45,2/22/2011 9:10,01100348
OUT,S88,50630527.8,3139.09,4/19/2011 18:45,4/20/2011 8:50,01100723
OUT,S89,679604.4,27.18,8/30/2011 23:40,8/31/2011 10:15,01103213
OUT,S90,971267.96,0,12/20/2011 17:40,12/21/2011 7:35,01200341
OUT,S91,1732991.22,0,1/12/2012 11:25,1/13/2012 9:45,01200388
OUT,S92,1540436.64,0,1/17/2012 6:30,1/17/2012 16:10,01200385
OUT,S93,31460020.35,0,1/22/2012 16:25,1/24/2012 9:55,01200446
OUT,S94,19793478.15,1840.79,3/2/2012 15:10,3/4/2012 6:40,01200602
OUT,S95,12062978.1,482.52,7/18/2012 20:50,7/19/2012 3:05,01201613
OUT,S96,,,12/20/2012 16:50,12/21/2012 11:10,01300449
OUT,S97,,,1/12/2013 22:45,1/13/2013 10:50,01300535
OUT,S98,,,1/27/2013 12:30,1/28/2013 5:40,01300525
OUT,S99,,,1/30/2013 11:20,1/30/2013 21:15,01301033
OUT,S100,,,2/7/2013 7:35,2/8/2013 8:45,01300658
OUT,S101,,,3/9/2013 9:40,3/11/2013 6:15,01301017
OUT,S102,,,4/14/2013 6:45,4/14/2013 12:10,01301279
