"","OUT-S104_Group001GMIA0002_20131211","OUT-S104G_Group001GMIA0003_20131211","LK-S104_Group001GMIA0004_20131211","LK-S104G_Group001GMIA0005_20131211","OAK-S104_Group001GMIA0006_20131211","OUT-S104-R_Group001GMIA0009_20131211","OUT-S105_Group002GMIA0006_20131223","OUT-S105G_Group002GMIA0007_20131223","LK-S105_Group002GMIA0008_20131223","LK-S105G_Group002GMIA0009_20131223","OAK-S105_Group002GMIA0010_20131223","LK-S106_Group001GMIA0003_20140121","LK-S106G_Group001GMIA0004_20140121","CG-S106_Group001GMIA0006_20140121","CG-S106G_Group001GMIA0007_20140121","Out-S106_Group001GMIA0008_20140121","Out-S106G_Group001GMIA0009_20140121","OUT-S107_Group007GMIA-MMSD0003_20140225","OUT-S107G_Group007GMIA-MMSD0004_20140225","LK-S107_Group007GMIA-MMSD0005_20140225","LK-S107G_Group007GMIA-MMSD0006_20140225","OAK-S107_Group007GMIA-MMSD0007_20140225","CG-S107_Group007GMIA-MMSD0008_20140225","OUT-S107-R_Group007GMIA-MMSD0011_20140225","OUT-S107_Group002GMIA0003_20140227","OUT-S107G_Group002GMIA0004_20140227","LK-S107_Group002GMIA0005_20140227","LK-S107G_Group002GMIA0006_20140227","OAK-S107_Group002GMIA0007_20140227","CG-S107_Group002GMIA0008_20140227","OUT-S107-R_Group002GMIA0011_20140227","LK-Q23C_Group004MMSDGMIA0002_20140318","CG-Q23C_Group004MMSDGMIA0003_20140318","OUT-S108_Group002GMIA_IN0003_20140423","OUT-S108G_Group002GMIA_IN0004_20140423","LK-S108_Group002GMIA_IN0005_20140423","LK-S108G_Group002GMIA_IN0006_20140423","OAK-S108_Group002GMIA_IN0007_20140423","OUT-S108-R_Group002GMIA_IN0014_20140423","CG-S109_Group006SESQA0006_20140505","LK-S110_Group002GMIA0004_20140905","OUT-S110_Group002GMIA0005_20140905","CG-S110_Group002GMIA0006_20140905","OAK-S110_Group002GMIA0007_20140905","LK-S110G_Group002GMIA0008_20140905","OUT-S110G_Group002GMIA0009_20140905","LK-S110-R_Group002GMIA0012_20140905","OUT-S110G_Group003GMIA0001_20140905","Wavelength"
"163",0.0373045325802662,0.0342428902857318,0.0241489151784835,0.0237428091147003,0.0530448258327679,0.0342280334628502,0.0389660583318088,0.0405472022812971,0.0453690554233476,0.0437161277312967,0.055103012962364,0.0578499344722989,0.049064070549204,0.0238347824038921,0.0640092567625669,0.0728379390752614,0.110945756811698,0.00418227849545656,0.00463510312968373,0.00372516283541104,0.00348351452171728,0.00350921824874081,0.00249923484501977,0.00372609291721484,0.0819231011872129,0.0961272132424325,0.0704183941389008,0.0737189030261633,0.0744531556589887,0.0577840766505309,0.0823697601663958,0.00147160910844234,0.00108886276156634,0.0781763188943562,0.061914455447527,0.0754391718336555,0.0588140085326856,0.0699631819824488,0.077410769752527,0.013840163766064,0.082840214030719,0.0719969898262981,0.0169504882041818,0.10332025082394,0.0794599809097476,0.0889771981457801,0.082991109342904,0.0904551775148212,314
"164",0.0400357566479395,0.036100169517095,0.0255542663288316,0.0252450573809454,0.0566638223739775,0.0362053710427184,0.0420339908215119,0.0436393045735456,0.0482055167140957,0.047203710763398,0.0585608358719953,0.0600777639046188,0.0514523047640768,0.0247493742067231,0.0675000447024234,0.0762047244691537,0.115460714551733,0.00440024694098346,0.00499915994845663,0.003977994942291,0.00367307110174737,0.00363230849216177,0.00260590341782629,0.00399346646275255,0.0855982753756545,0.100135037574799,0.0737816891379656,0.0771456160108178,0.0779126282910096,0.060031315935941,0.0860987523062862,0.00131648781248895,0.00103684635945039,0.0820176506741758,0.0652203344625045,0.0792269085059311,0.0620243680002496,0.0737016126098353,0.0813516149155683,0.0145795795102691,0.0873037645606799,0.0750972997504547,0.0177974152194035,0.108182802191441,0.0831763827787177,0.0927137936785263,0.0873871588663836,0.0942601877304135,311
"165",0.0430635192878465,0.0386484357047565,0.027125078906123,0.0268107545885165,0.0604278390569699,0.0386241546508913,0.0455211081896038,0.0467960219899513,0.0512208788762361,0.0503212218500623,0.06195575380219,0.0628035887921788,0.0542299007679648,0.0261891878655626,0.07124331102949,0.0799167533751807,0.120478636031077,0.00483828570493377,0.0052957101521928,0.00395910342872782,0.00381640391242802,0.00397812171303449,0.00282823703331042,0.00423485439750379,0.0895981857386646,0.10423128911434,0.0772064291786982,0.0807774845916307,0.0816929428901409,0.0626270888901891,0.0900793912105846,0.00133907602799275,0.000974105960588318,0.0863367144120468,0.0686948428864541,0.0831806016599864,0.0657068757333173,0.0779721747435292,0.0855057846985511,0.0156634945342303,0.0919692505462062,0.0785134073661782,0.0187540150139263,0.113285214037614,0.0873036909499896,0.0965910797158568,0.0916773621224447,0.0989858998853735,308
"166",0.0459955431608558,0.0407088398724484,0.0287158717810631,0.0284743752839324,0.0644257078641816,0.0409358228433248,0.0491697394978331,0.0507427378516038,0.0543049041809466,0.053908283894892,0.06551231314212,0.0656957314131441,0.0568716843861753,0.027641211759587,0.0752024917928719,0.0837800983025578,0.125483158831575,0.00481998862217111,0.00536297243800814,0.00431057633087759,0.00398016613371868,0.00370513540111483,0.00289927052475626,0.00419394837914457,0.0936721173472184,0.10869189714206,0.0805986394664134,0.0844693075773582,0.0850552522584425,0.064910335402024,0.0940911677918087,0.00145068331723695,0.00111855609819781,0.0903447225098296,0.0726659792984945,0.0873487046444173,0.0691418549531275,0.081872359579235,0.0895713370764134,0.0166535618164465,0.0970102729378425,0.0823479485160641,0.0197049581707866,0.118967765544268,0.0917416096945193,0.101237621460402,0.0971509864900801,0.103291066717787,305
"167",0.04962770732855,0.0435514049214256,0.0303360053919942,0.0302173526647542,0.0688262585983712,0.0437833773982886,0.0537653411925923,0.0554460376288552,0.0577302532981236,0.0576508351095335,0.069577073916317,0.0687963814392111,0.0596352857786786,0.0291124163104279,0.0795388912766005,0.0879693098763631,0.13136222247012,0.00514434057093751,0.00574625640389881,0.0045332897036838,0.00418504440060862,0.00427361046947351,0.00308738194721111,0.00465733627262454,0.0981555384474728,0.113733604570901,0.0845030676595347,0.0885630297663035,0.0894201338227053,0.0676632001208327,0.0985967061142983,0.00130864245184998,0.00117465098571192,0.095166934983069,0.0766837386047393,0.0916243316881432,0.0730573492485559,0.0868439844214243,0.094326334000414,0.0179680408711283,0.102214696015465,0.0860378797179361,0.0209506334136305,0.124701557349553,0.0959500268612779,0.105712005670437,0.102231955932867,0.107877791579076,302
"168",0.0532895850805769,0.0460304150481543,0.0321233683675098,0.0321176063722771,0.0733690755542108,0.0465907038339302,0.0589160776788987,0.0612682950847171,0.0612508171207859,0.0618861518787883,0.0737092606264063,0.0725361153571508,0.0633868162295333,0.0310066810246338,0.0845909287332001,0.0928100450080002,0.137713129358971,0.00542897544143427,0.00598438516800775,0.00469470658737183,0.00437474408981429,0.0044711035233434,0.00329080971603782,0.0046680271884193,0.103110173248207,0.119276275924466,0.0887213013951022,0.0930404223301046,0.0938072837336119,0.0704828413360139,0.103523559839903,0.00160862687884419,0.00113600231727045,0.100015625973032,0.080897802938875,0.0961171957368165,0.077037283552893,0.0913774029395877,0.0989775016234057,0.0193618628660459,0.107793519102992,0.0903966538838157,0.022196307541178,0.130919718490373,0.101254449944195,0.110664899598772,0.10791911110521,0.113121834783295,299
"169",0.0575917465552598,0.0493804148216765,0.0339952584468325,0.034058453995567,0.078351788560696,0.0497495877381937,0.0648751406722918,0.0681536815220463,0.065327860318464,0.066425889650531,0.0782473757993233,0.0765444523923964,0.0664907330683837,0.0325836708525752,0.0895407631915288,0.0976555463625996,0.144116877461243,0.00568600337405208,0.00638896863300436,0.00506810582901462,0.00462029028680473,0.00448674368837199,0.003424626007128,0.00510243709165577,0.108402814804455,0.125576801096732,0.0931366445138075,0.0978231893321797,0.0982982119578395,0.0734724147346077,0.108928805219982,0.00162183798434302,0.00129801269582446,0.105341669812265,0.0855328244554927,0.101071716278527,0.0813690763283302,0.0969508722640451,0.104482657820863,0.0208234061256308,0.113281567329127,0.0949112845414095,0.023143885277568,0.137530145950837,0.106559781273923,0.115964618292154,0.113648516031775,0.118397476565854,296
"170",0.061856373902386,0.0524586679338403,0.0360990489600743,0.0362104782035635,0.0835286080475204,0.0535971392205528,0.0713893969767421,0.0760494372787819,0.0692677817104962,0.0710644278643693,0.0828601336182846,0.0810454957074673,0.0703050699704921,0.0346844049859912,0.095302691008108,0.103040614535408,0.151329844515845,0.00638194772519257,0.00695560602917346,0.00551658427691392,0.00517083988193476,0.00527947412709734,0.0038991673917474,0.00558528801801606,0.114264388238743,0.132691814324585,0.0981885409433952,0.103064057231435,0.103904959352409,0.0769501540025068,0.114589371463926,0.00180886306478352,0.00130144234367276,0.110995002195854,0.0904566637003714,0.105879077212665,0.0861280335456299,0.102645740916225,0.110102506175208,0.0225393118893387,0.119925740507214,0.0997927036211055,0.0250155036400395,0.144673400411869,0.11222345112259,0.121713234143951,0.120092818420886,0.124106827329058,293
"171",0.0673247028411697,0.056535186807695,0.0385541099899498,0.0388203006064891,0.0896420670184861,0.0575941676632564,0.0784455356785732,0.0848131488621287,0.0736622582057297,0.0762560437362062,0.0878253469483567,0.086037808568207,0.0743012285833794,0.0369466750659819,0.101724788231834,0.108705592558601,0.15863116741563,0.006293831048786,0.0068713464399587,0.00546046131578645,0.00510292191936234,0.00508934402825087,0.0038544213768193,0.00543417634017654,0.120421642438799,0.140136258540994,0.102934076927541,0.108610135575335,0.108966642387372,0.0801575211127982,0.120834259182927,0.00166524280134856,0.00128526813763577,0.11716449110092,0.0957479896631113,0.111913590123332,0.091054481237652,0.108607413880722,0.116255927222978,0.0240907583558569,0.126404492194627,0.104811084642494,0.0264871454022374,0.151911958389273,0.117979946669003,0.127444326455744,0.126052878163408,0.130192400499214,290
"172",0.0722858011564818,0.0597256411121389,0.040549987709906,0.0407905375166006,0.0951183717236059,0.0614789259429848,0.0860352702209514,0.0939202394858745,0.078351267645335,0.0813377308512701,0.0931469751164463,0.0911381890285986,0.0780808595537847,0.0393504575346477,0.108047293221176,0.114634712739924,0.166680709975479,0.00652988721707224,0.00761384476273565,0.00579606473432802,0.00544719372577987,0.00543705644869989,0.00411249498540658,0.00598072211855996,0.126835149046011,0.147999987026029,0.108548788869389,0.114549158877319,0.114595963220963,0.0839142323317327,0.127354027907644,0.00169356151414206,0.00122860221557595,0.123171045113912,0.100991079233005,0.117108498128339,0.0955403474251525,0.114536536025739,0.122155380045346,0.0254199268928417,0.132605769929354,0.110074454641279,0.0275057818573154,0.159491389814335,0.124041058105953,0.133557170698807,0.133089121050104,0.136142471308211,287
