#  RDB file created by NWIS qwflatout program on nwiswi at 06/02/2014 15:45:21
#
# AGNCY  Agency code
# BDATE  Begin date
# BTIME  Begin time
# EDATE  End date
# ETIME  End time
# MEDIM  Medium code
# PCODE  Parameter code
# REMRK  Remark code
# SAMPL  Record number
# SCMFL  Field sample comment
# STAID  Station number
# STYPE  Sample type code
# VALUE  Parameter value
# RPLEV  Reporting level
#
AGNCY	BDATE	BTIME	EDATE	ETIME	MEDIM	PCODE	REMRK	SAMPL	SCMFL	STAID	STYPE	VALUE	RPLEV
10S	10S	10S	10D	10S	10S	10S	10S	10S	50S	20S	10S	10N	10S
USGS	20000407	1237	20000408	0036	WS	01114		00002422	CG-S22	040871476	9	120	
USGS	20000407	1237	20000408	0036	WS	01119		00002422	CG-S22	040871476	9	42	
USGS	20000407	1237	20000408	0036	WS	71846		00002422	CG-S22	040871476	9	1.02	
USGS	20000407	1237	20000408	0036	WS	82398		00002422	CG-S22	040871476	9	50	
USGS	20000407	1237	20000408	0036	WS	91075	<	00002422	CG-S22	040871476	9	18.0	
USGS	20000407	1237	20000408	0036	WS	91080		00002422	CG-S22	040871476	9	1300	
USGS	20000407	1237	20000408	0036	WS	99904		00002422	CG-S22	040871476	9	4.4	
USGS	20000407	1237	20000408	0036	WS	99908		00002422	CG-S22	040871476	9	150	
USGS	20000407	1820			WS	00028		00002423		040871476	9	85543	
USGS	20000407	1820			WS	00061		00002423		040871476	9	.01	
USGS	20000407	1820			WS	00556		00002423		040871476	9	6	
USGS	20000407	1820			WS	30209		00002423		040871476	9	.00	
USGS	20000407	1820			WS	82398		00002423		040871476	9	70	
USGS	20000525	1028			WS	00028		00006556		040871476	9	1028	
USGS	20000525	1028			WS	00061		00006556		040871476	9	.01	
USGS	20000525	1028			WS	30209		00006556		040871476	9	.00	
USGS	20000525	1028			WS	82398		00006556		040871476	9	70	
USGS	20000525	1028			WS	99920		00006556		040871476	9	260000	
USGS	20000525	1028			WS	99921		00006556		040871476	9	10.000	
USGS	20000525	1028			WS	99922		00006556		040871476	9	20.000	
USGS	20000905	0926			WS	00028		00007647	CG-B16	040871476	9	1028	
USGS	20000905	0926			WS	00061	<	00007647	CG-B16	040871476	9	.01	
USGS	20000905	0926			WS	30209	<	00007647	CG-B16	040871476	9	.000	
USGS	20000905	0926			WS	82398		00007647	CG-B16	040871476	9	70	
USGS	20000905	0926			WS	99920		00007647	CG-B16	040871476	9	4000.0	
USGS	20000905	0926			WS	99921		00007647	CG-B16	040871476	9	310.00	
USGS	20000905	0926			WS	99922		00007647	CG-B16	040871476	9	780.00	
USGS	20000922	1236	20000922	2106	WS	00028		00008267	CG-S23	040871476	9	85543	
USGS	20000922	1236	20000922	2106	WS	00335		00008267	CG-S23	040871476	9	78	
USGS	20000922	1236	20000922	2106	WS	00403		00008267	CG-S23	040871476	9	7.5	
USGS	20000922	1236	20000922	2106	WS	00530		00008267	CG-S23	040871476	9	23	
USGS	20000922	1236	20000922	2106	WS	00605		00008267	CG-S23	040871476	9	.76	
USGS	20000922	1236	20000922	2106	WS	00608		00008267	CG-S23	040871476	9	.139	
USGS	20000922	1236	20000922	2106	WS	00625		00008267	CG-S23	040871476	9	.90	
USGS	20000922	1236	20000922	2106	WS	00665		00008267	CG-S23	040871476	9	.125	
USGS	20000922	1236	20000922	2106	WS	00916		00008267	CG-S23	040871476	9	18.0	
USGS	20000922	1236	20000922	2106	WS	00921		00008267	CG-S23	040871476	9	3.1	
USGS	20000922	1236	20000922	2106	WS	01094		00008267	CG-S23	040871476	9	100	
USGS	20000922	1236	20000922	2106	WS	01114		00008267	CG-S23	040871476	9	3	
USGS	20000922	1236	20000922	2106	WS	01119		00008267	CG-S23	040871476	9	7	
USGS	20000922	1236	20000922	2106	WS	71846		00008267	CG-S23	040871476	9	.179	
USGS	20000922	1236	20000922	2106	WS	82398		00008267	CG-S23	040871476	9	50	
USGS	20000922	1236	20000922	2106	WS	91075	<	00008267	CG-S23	040871476	9	18.0	
USGS	20000922	1236	20000922	2106	WS	91080	<	00008267	CG-S23	040871476	9	18.0	
USGS	20000922	1236	20000922	2106	WS	99904		00008267	CG-S23	040871476	9	39	
USGS	20000922	1236	20000922	2106	WS	99908		00008267	CG-S23	040871476	9	57.0	
USGS	20000922	1612			WS	00028		00008331		040871476	9	85543	
USGS	20000922	1612			WS	00061		00008331		040871476	9	.64	
USGS	20000922	1612			WS	00556		00008331		040871476	9	5	
USGS	20000922	1612			WS	30209		00008331		040871476	9	.02	
USGS	20000922	1612			WS	82398		00008331		040871476	9	70	
USGS	20001216	0618	20001216	1644	WS	00028		00100307	CG-S25	040871476	9	85543	
USGS	20001216	0618	20001216	1644	WS	00335		00100307	CG-S25	040871476	9	29000	
USGS	20001216	0618	20001216	1644	WS	00403		00100307	CG-S25	040871476	9	7.9	
USGS	20001216	0618	20001216	1644	WS	00605		00100307	CG-S25	040871476	9	21	
USGS	20001216	0618	20001216	1644	WS	00608		00100307	CG-S25	040871476	9	1.76	
USGS	20001216	0618	20001216	1644	WS	00625		00100307	CG-S25	040871476	9	22	
USGS	20001216	0618	20001216	1644	WS	00939		00100307	CG-S25	040871476	9	4800	
USGS	20001216	0618	20001216	1644	WS	71846		00100307	CG-S25	040871476	9	2.27	
USGS	20001216	0618	20001216	1644	WS	82398		00100307	CG-S25	040871476	9	50	
USGS	20001216	0618	20001216	1644	WS	91075	<	00100307	CG-S25	040871476	9	18.0	
USGS	20001216	0618	20001216	1644	WS	91080		00100307	CG-S25	040871476	9	19000	
USGS	20001216	0618	20001216	1644	WS	99220		00100307	CG-S25	040871476	9	210	
USGS	20001216	0618	20001216	1644	WS	99904		00100307	CG-S25	040871476	9	3.3	
USGS	20010114	0645	20010114	1237	WS	00028		00100453	CG-S26	040871476	9	85543	
USGS	20010114	0645	20010114	1237	WS	00310		00100453	CG-S26	040871476	9	1010	
USGS	20010114	0645	20010114	1237	WS	00335		00100453	CG-S26	040871476	9	1800	
USGS	20010114	0645	20010114	1237	WS	00403		00100453	CG-S26	040871476	9	7.5	
USGS	20010114	0645	20010114	1237	WS	00417		00100453	CG-S26	040871476	9	216	
USGS	20010114	0645	20010114	1237	WS	00530		00100453	CG-S26	040871476	9	93	
USGS	20010114	0645	20010114	1237	WS	00605		00100453	CG-S26	040871476	9	3.1	
USGS	20010114	0645	20010114	1237	WS	00608		00100453	CG-S26	040871476	9	.377	
USGS	20010114	0645	20010114	1237	WS	00625		00100453	CG-S26	040871476	9	3.4	
USGS	20010114	0645	20010114	1237	WS	00916		00100453	CG-S26	040871476	9	22.0	
USGS	20010114	0645	20010114	1237	WS	00921		00100453	CG-S26	040871476	9	5.2	
USGS	20010114	0645	20010114	1237	WS	00939		00100453	CG-S26	040871476	9	170	
