storm ID,Start Date,End Date,Duration (hours),precip,OUT Pure Glycol Application (gallons),OUT Pure Glycol Application (kg),OUT sample start,OUT sample end,OUT Volume (liters),OUT Ethylene Glycol (kg),OUT Propylene Glycol (kg),OUT EG+PG (kg),CG Pure Glycol Application (gallons),CG Pure Glycol Application (kg),CG sample start,CG sample end,CG Volume (liters),CG Ethylene Glycol (kg),CG Propylene Glycol (kg),CG EG+PG (kg),US sample start,US sample end,US Volume (liters),US Ethylene Glycol (kg),US Propylene Glycol (kg),US EG+PG (kg),LK sample start,LK sample end,LK Volume (liters),LK Ethylene Glycol (kg),LK Propylene Glycol (kg),LK EG+PG (kg),LK EG+PG (kg)
S90,12/20/2011,12/21/2011,13:55,,,,12/20/2011 17:40,12/21/2011 7:35,"971,268",19,104,123,,,12/30/2011 8:15,12/30/2011 10:30,"42,815",1,9,10,12/20/2011 17:05,12/21/2011 6:35,302990.3,6.06,6.06,12.12,12/20/2011 17:40,12/21/2011 13:30,7135846,143,143,285,123
S91,1/12/2012,1/13/2012,22:20,,,,1/12/2012 11:25,1/13/2012 9:45,"1,732,991",35,399,433,,,,,,,,,1/12/2012 11:45,1/13/2012 11:55,617307.33,12.35,12.35,24.69,1/12/2012 19:30,1/13/2012 13:45,6031489,121,121,241,433
S92,1/17/2012,1/17/2012,9:40,,,,1/17/2012 6:30,1/17/2012 16:10,"1,540,437",31,863,893,,,,,,,,,1/17/2012 7:10,1/17/2012 16:15,461564.66,9.23,9.23,18.46,1/17/2012 14:20,1/18/2012 14:00,11326740,227,1246,1472,893
S93,1/22/2012,1/24/2012,41:30:00,,,,1/22/2012 16:25,1/24/2012 9:55,"31,460,020",629,"12,584","13,213",,,1/23/2012 3:10,1/23/2012 12:53,"247,093",5,153,158,,,,,,,1/23/2012 1:25,1/24/2012 13:05,144812371,2896,2896,5792,13213
S94,3/2/2012,3/4/2012,39:30:00,,,,3/2/2012 15:10,3/4/2012 6:40,"19,793,478",396,"1,445","1,841",,,3/2/2012 14:59,3/3/2012 10:34,"59,692",1,16,17,3/2/2012 15:30,3/3/2012 20:05,3199804.05,64,64,127.99,3/2/2012 18:50,3/4/2012 12:55,94663230,1893,1893,3787,1841
S95,7/18/2012,7/19/2012,6:15,,,,7/18/2012 20:50,7/19/2012 3:05,"12,062,978",241,241,483,,,7/18/2012 20:45,7/19/2012 1:27,"200,370",4,4,8,7/18/2012 21:05,7/19/2012 10:40,4728913.95,94.58,94.58,189.16,7/18/2012 22:10,7/19/2012 12:00,87612334,1752,1752,3504,483
S96,12/20/2012,12/21/2012,18:20,,,,12/20/2012 16:50,12/21/2012 11:10,,,,,,,12/20/2012 16:52,12/21/2012 3:39,,,,,12/20/2012 17:35,12/21/2012 6:50,,,,,12/20/2012 18:30,12/21/2012 12:30
S97,1/12/2013,1/13/2013,12:05,,,,1/12/2013 22:45,1/13/2013 10:50,,,,,,,,,,,,,1/12/2013 23:05,1/13/2013 10:20,,,,,1/13/2013 13:15,1/13/2013 17:30
S98,1/27/2013,1/28/2013,17:10,,,,1/27/2013 12:30,1/28/2013 5:40,,,,,,,1/28/2013 3:57,1/28/2013 10:03,,,,,1/27/2013 12:40,1/28/2013 3:30,,,,,1/28/2013 3:30,1/28/2013 12:05
S99,1/30/2013,1/30/2013,9:55,,,,1/30/2013 11:20,1/30/2013 21:15,,,,,,,1/30/2013 13:17,1/30/2013 13:33,,,,,2/7/2013 7:50,2/8/2013 8:05,,,,,2/7/2013 18:40,2/8/2013 16:50
S100,2/7/2013,2/8/2013,25:10:00,,,,2/7/2013 7:35,2/8/2013 8:45,,,,,,,2/7/2013 12:03,2/7/2013 12:16,,,,,3/9/2013 9:45,3/11/2013 4:15,,,,,3/9/2013 18:40,3/11/2013 13:30
S101,3/9/2013,3/11/2013,44:35:00,,,,3/9/2013 9:40,3/11/2013 6:15,,,,,,,3/10/2013 3:52,3/10/2013 21:07,,,,,4/14/2013 7:00,4/14/2013 12:35,,,,,4/14/2013 14:55,4/14/2013 17:25
S102,4/14/2013,4/14/2013,5:25,,,,4/14/2013 6:45,4/14/2013 12:10,,,,,,,4/14/2013 7:37,4/14/2013 8:35,,,,,,,,,,,,
