Site,Storm,Volume,COD,startDate,endDate
OUT,S116,,2200,3/23/2015 7:45,3/23/2015 21:40
OUT,S116A,,1200,3/23/2015 7:45,3/23/2015 13:45
OUT,S116B,,3700,3/23/2015 14:10,3/23/2015 18:45
OUT,S116C,,1000,3/23/2015 19:20,3/23/2015 21:40
OUT,W101,,96,12/05/2014 10:00,
OUT,W102,,150,12/15/2014 15:00,
OUT,W103,,120,12/22/2014 10:40,
OUT,W104,,110,01/15/2015 10:35,
OAK,S104,,16,12/9/2013 14:00,
OAK,S105,,100,12/20/2013 15:15,
OAK,S106,,310,1/10/2014 14:55,
OAK,S107,,590,2/21/2014 15:00,
OAK,S108,,260,4/15/2014 12:00,
OAK,S110,,24,9/4/2014 19:15,
OAK,S111,,280,11/22/2014 16:15,
OAK,S112,,97,12/9/2014 12:15,
OAK,S113,,250,1/5/2015 12:15,
OAK,S115,,130,3/12/2015 14:00,
OAK,S116,,550,3/24/2015 14:30,
OAK,W101,,25,12/05/2014 10:30,
OAK,W102,,29,12/15/2014 12:00,
OAK,W103,,40,12/22/2014 11:45,
OAK,W104,,36,01/15/2015 15:00,
