STN---,WBAN , YEARMODA,   TEMP,  ,   DEWP,  ,  SLP  ,  ,  STP  ,  , VISIB,  ,  WDSP,  , MXSPD,  GUST,   MAX  ,  MIN  ,PRCP  ,SNDP , FRSHTT,
726400,14839, 19901103,   61.8,24,   57.2,24, 1015.9,24,  990.7,24,   5.4,24,   8.7,24,  15.0,  20.0,   73.0 ,  51.1*, 0.00G,999.9, 110000,
726400,14839, 19901104,   41.0,24,   39.7,24, 1019.2,24,  993.5,24,   6.3,24,  12.6,24,  19.0,  25.1,   50.0*,  21.0 , 0.46G,  5.1, 111000,
726400,14839, 19901105,   38.2,24,   37.3,24, 1008.1,24,  982.5,24,   5.4,24,  20.4,24,  28.0,  38.1,   42.1 ,  35.1 , 0.76G,999.9, 111000,
726400,14839, 19901106,   36.9,24,   32.4,24, 1016.8,24,  990.9,24,  13.3,24,   8.5,24,  20.0,  28.0,   42.1 ,  32.0 , 0.25G,999.9, 011000,
726400,14839, 19901107,   36.3,24,   29.6,24, 1023.3,24,  997.2,24,   8.0,24,  10.4,24,  15.9,  22.9,   42.1 ,  32.0 , 0.02G,999.9, 111000,
726400,14839, 19901108,   31.1,24,   21.2,24, 1025.9,24,  999.7,24,  11.3,24,   6.5,24,  12.0, 999.9,   39.9 ,  25.0 , 0.00G,999.9, 000000,
726400,14839, 19901109,   36.1,24,   31.4,24, 1016.4,24,  990.5,24,   4.3,24,   9.0,24,  13.0, 999.9,   39.0 ,  25.0 , 0.18G,  0.4, 101000,
726400,14839, 19901110,   37.6,24,   30.3,24, 1014.0,24,  988.1,24,   5.4,24,  11.8,24,  20.0,  28.0,   48.0*,  30.9 , 0.11G,999.9, 100000,
726400,14839, 19901111,   34.7,24,   18.5,24, 1018.6,24,  992.7,24,  13.5,24,  11.2,24,  22.0,  32.1,   48.0 ,  26.1 , 0.00G,999.9, 011000,
726400,14839, 19901112,   36.2,24,   16.5,24, 1026.1,24, 1000.0,24,  14.5,24,   8.6,24,  12.0, 999.9,   46.0 ,  26.1 , 0.00G,999.9, 000000,
726400,14839, 19901113,   34.9,24,   19.2,24, 1029.2,24, 1002.9,24,  13.9,24,   7.0,24,  12.0, 999.9,   45.0 ,  28.0 , 0.00G,999.9, 000000,
726400,14839, 19901114,   45.3,24,   35.2,24, 1023.5,24,  997.6,24,  10.7,24,   8.2,24,  15.0,  21.0,   64.9*,  28.0 , 0.00G,999.9, 000000,
726400,14839, 19901115,   59.3,24,   46.9,24, 1017.2,24,  991.9,24,  11.1,24,  15.3,24,  21.0,  31.1,   69.1*,  52.0*, 0.00G,999.9, 000000,
726400,14839, 19901116,   56.2,24,   45.7,24, 1015.4,24,  990.2,24,   7.8,24,  14.2,24,  22.0,  31.1,   69.1 ,  48.0*, 0.00G,999.9, 000000,
726400,14839, 19901117,   42.4,24,   29.3,24, 1026.8,24, 1000.9,24,  12.9,24,   7.3,24,  10.1, 999.9,   61.0 ,  33.1 , 0.00G,999.9, 000000,
726400,14839, 19901118,   43.3,24,   34.2,24, 1021.8,24,  995.9,24,   8.2,24,   7.4,24,  13.0, 999.9,   53.1 ,  33.1 , 0.00G,999.9, 000000,
726400,14839, 19901119,   45.6,24,   39.5,24, 1017.7,24,  992.1,24,   5.6,24,   5.6,24,   8.0, 999.9,   53.1*,  39.9 , 0.00G,999.9, 000000,
726400,14839, 19901120,   43.1,24,   41.7,24, 1021.8,24,  996.0,24,   3.1,24,   6.3,24,  15.0, 999.9,   55.0 ,  33.1 , 0.00G,999.9, 100000,
726400,14839, 19901121,   55.5,24,   50.7,24, 1011.7,24,  986.4,24,   4.2,24,  14.1,24,  20.0,  26.0,   64.0*,  50.0*, 0.26G,999.9, 110000,
726400,14839, 19901122,   49.5,24,   35.9,24, 1010.1,24,  984.8,24,  13.6,24,  12.9,24,  20.0,  28.9,   64.9 ,  36.0 , 0.02G,999.9, 010000,
726400,14839, 19901123,   44.5,24,   27.6,24, 1001.6,24,  976.3,24,  14.5,24,  17.3,24,  22.9,  34.0,   55.0 ,  36.0 , 0.01G,999.9, 010000,
726400,14839, 19901124,   37.1,24,   18.3,24, 1003.9,24,  978.4,24,  13.5,24,   9.9,24,  17.1,  27.0,   46.9 ,  32.0 , 0.00D,999.9, 000000,
726400,14839, 19901125,   43.6,24,   25.5,24, 1006.1,24,  980.7,24,  12.6,24,  11.1,24,  17.1,  26.0,   50.0 ,  32.0 , 0.00G,999.9, 000000,
726400,14839, 19901126,   40.3,24,   33.8,24, 1012.7,24,  987.0,24,  10.4,24,  11.5,24,  15.0,  20.0,   51.1*,  34.0 , 0.00G,999.9, 110000,
726400,14839, 19901127,   60.4,24,   57.6,24, 1001.1,24,  976.2,24,   5.3,24,  12.2,24,  20.0,  29.9,   66.9 ,  37.0 , 0.29G,999.9, 110010,
726400,14839, 19901128,   39.9,24,   33.4,24, 1006.7,24,  981.3,24,   7.6,24,  16.1,24,  30.1,  38.1,   66.9 ,  30.0 , 0.97G,999.9, 111000,
726400,14839, 19901129,   29.6,24,   18.3,24, 1027.2,24, 1000.8,24,  12.6,24,  10.5,24,  14.0,  20.0,   37.0*,  24.1 , 0.00G,999.9, 000000,
726400,14839, 19901130,   37.2,24,   23.1,24, 1021.5,24,  995.4,24,  14.8,24,  15.2,24,  24.1,  36.9,   46.9*,  24.1 , 0.00G,999.9, 000000,
726400,14839, 19901201,   42.2,24,   29.0,24, 1016.0,24,  990.3,24,  12.9,24,  12.2,24,  19.0,  28.9,   48.0 ,  30.0 , 0.00G,999.9, 000000,
726400,14839, 19901202,   33.3,24,   18.5,24, 1029.8,24, 1003.5,24,  12.1,24,  10.3,24,  18.1,  24.1,   48.0 ,  25.0 , 0.00G,999.9, 000000,
726400,14839, 19901203,   34.4,24,   29.2,24, 1011.7,24,  985.9,24,   3.9,24,  25.1,24,  32.1,  47.0,   39.0 ,  25.0 , 0.57G,  3.9, 111000,
726400,14839, 19901204,   24.1,24,   18.5,24, 1014.9,24,  988.7,24,   7.1,24,  17.7,24,  30.1,  41.0,   35.1 ,  21.0 , 0.46G,  5.1, 101000,
726400,14839, 19901205,   21.9,24,   14.1,24, 1021.0,24,  994.5,24,  10.2,24,   9.0,24,  15.9,  22.9,   37.0*,  12.0 , 0.01G,  3.9, 000000,
726400,14839, 19901206,   32.0,24,   22.6,24, 1015.1,24,  989.1,24,  10.9,24,  11.1,24,  14.0,  19.0,   37.9 ,  28.0*, 0.00G,  3.9, 000000,
726400,14839, 19901207,   26.8,24,   18.2,24, 1017.0,24,  990.8,24,  12.5,24,  11.8,24,  18.1,  24.1,   37.0*,  19.0 , 0.00G,  3.9, 000000,
726400,14839, 19901208,   33.0,24,   25.8,24, 1017.8,24,  991.8,24,   9.6,24,   7.5,24,  19.0,  24.1,   44.1*,  19.0 , 0.00G,  3.9, 000000,
726400,14839, 19901209,   37.5,24,   28.9,24, 1019.1,24,  993.1,24,   8.7,24,  12.6,24,  20.0,  26.0,   46.9*,  25.0 , 0.00G,  3.1, 000000,
726400,14839, 19901210,   38.4,24,   30.2,24, 1021.0,24,  995.1,24,  13.3,24,  10.8,24,  15.9, 999.9,   46.9 ,  30.9 , 0.00G,  1.2, 000000,
726400,14839, 19901211,   40.4,24,   33.8,24, 1017.1,24,  991.2,24,   8.2,24,   7.5,24,  10.1, 999.9,   48.0*,  36.0 , 0.00G,  0.4, 100000,
726400,14839, 19901212,   41.7,24,   37.6,24, 1006.6,24,  981.1,24,   5.1,24,  10.8,24,  20.0,  28.0,   50.0 ,  35.1 , 0.00G,  0.4, 100000,
726400,14839, 19901213,   33.1,24,   21.5,24, 1016.3,24,  990.4,24,   7.9,24,  14.5,24,  20.0,  29.9,   50.0 ,  27.0*, 0.00G,  0.4, 100000,
726400,14839, 19901214,   27.7,24,   17.2,24, 1027.0,24, 1000.6,24,   9.9,24,   6.2,24,  12.0,  18.1,   37.0 ,  21.9 , 0.00G,999.9, 000000,
726400,14839, 19901215,   36.1,24,   34.0,24, 1009.2,24,  983.4,24,   3.4,24,   9.1,24,  15.0,  20.0,   37.9 ,  21.9 , 0.24G,  0.4, 111000,
726400,14839, 19901216,   32.2,24,   28.8,24, 1019.6,24,  993.6,24,   5.2,24,   9.2,24,  15.0,  22.0,   37.9 ,  28.0 , 0.04G,999.9, 100000,
726400,14839, 19901217,   34.9,24,   32.1,24, 1014.8,24,  988.9,24,   3.6,24,   6.6,24,  11.1, 999.9,   37.9*,  28.0 , 0.05G,999.9, 111000,
726400,14839, 19901218,   34.0,24,   30.8,24,  999.8,24,  974.3,24,   5.1,24,   9.7,24,  13.0, 999.9,   37.9 ,  32.0 , 0.30G,999.9, 111000,
726400,14839, 19901219,   32.0,24,   25.9,24, 1015.3,24,  989.3,24,   7.1,24,   6.2,24,  10.1, 999.9,   37.0*,  27.0 , 0.00G,999.9, 101000,
726400,14839, 19901220,   38.2,24,   30.6,24, 1020.3,24,  994.3,24,   4.9,24,  10.7,24,  17.1,  19.0,   43.0*,  27.0 , 0.00G,999.9, 100000,
726400,14839, 19901221,   39.7,24,   36.5,24, 1015.2,24,  989.5,24,   3.0,24,   7.6,24,  12.0, 999.9,   45.0 ,  34.0 , 0.00G,999.9, 110000,
726400,14839, 19901222,   19.9,24,   15.3,24, 1014.4,24,  988.3,24,   6.0,24,  12.7,24,  18.1,  25.1,   44.1 ,   5.0*, 0.06G,  0.4, 111000,
726400,14839, 19901223,    3.3,24,   -8.9,24, 1022.4,24,  995.3,24,  14.3,24,  13.2,24,  17.1,  22.0,    9.0*,  -2.9 , 0.02G,999.9, 000000,
726400,14839, 19901224,    4.2,24,   -8.0,24, 1020.7,24,  993.6,24,  14.7,24,  13.2,24,  18.1,  22.9,   12.9*,  -2.9 , 0.00G,999.9, 000000,
726400,14839, 19901225,   17.5,24,    8.2,24, 1019.9,24,  993.2,24,  12.3,24,  13.4,24,  20.0,  28.0,   25.0*,  -2.0 , 0.00G,999.9, 001000,
726400,14839, 19901226,    0.7,24,  -15.8,24, 1035.5,24, 1008.1,24,  14.6,24,  11.4,24,  18.1,  24.1,    9.0*,  -7.1 , 0.00G,999.9, 000000,
726400,14839, 19901227,   16.5,24,    3.2,24, 1034.8,24, 1007.6,24,   9.7,24,   8.4,24,  15.9,  24.1,   30.0*,  -7.1 , 0.00G,999.9, 000000,
726400,14839, 19901228,   27.4,24,   24.1,24, 1021.6,24,  995.3,24,   4.4,24,   7.9,24,  13.0, 999.9,   30.9 ,  10.0 , 0.00G,999.9, 111000,
726400,14839, 19901229,   35.3,24,   32.9,24, 1011.0,24,  985.1,24,   4.6,24,   8.8,24,  15.0,  18.1,   37.0 ,  25.0 , 0.83G,999.9, 111000,
726400,14839, 19901230,   14.6,24,    7.9,24, 1018.1,24,  991.7,24,   4.7,24,  12.9,24,  15.9,  22.0,   37.0 ,   8.1 , 0.08G,  2.0, 101000,
726400,14839, 19901231,    6.5,24,   -3.4,24, 1029.9,24, 1002.7,24,  11.5,24,  11.3,24,  15.9,  22.9,   15.1 ,   0.0 , 0.02G,  2.0, 001000,
726400,14839, 19910101,   18.2,24,    8.9,24, 1025.2,24, 1001.5, 7,  10.6,24,  13.3,24,  20.0,  25.1,   28.9*,   0.0 , 0.00G,  1.2, 000000,
726400,14839, 19910102,   18.9,24,   10.5,24, 1029.0,24, 9999.9, 0,   6.0,24,  10.7,24,  13.0, 999.9,   27.0*,  10.0*, 0.00G,  1.2, 101000,
726400,14839, 19910103,    5.2,24,   -6.3,24, 1035.3,24, 9999.9, 0,  12.3,24,  10.5,24,  13.0, 999.9,   15.1*,  -2.0*, 0.04G,  2.0, 000000,
726400,14839, 19910104,    8.8,24,   -3.7,24, 1033.4,24, 9999.9, 0,  13.7,24,  10.5,24,  15.9, 999.9,   21.0*,   1.0*, 0.00G,  1.2, 000000,
726400,14839, 19910105,   22.3,24,   15.5,24, 1025.0,24, 9999.9, 0,   5.8,24,   5.3,24,  10.1, 999.9,   28.9*,  15.1*, 0.29G,  3.9, 001000,
726400,14839, 19910106,   17.9,24,   10.9,24, 1030.5,24, 9999.9, 0,   9.1,24,   8.4,24,  11.1, 999.9,   26.1*,  10.9*, 0.02G,  3.9, 000000,
726400,14839, 19910107,   18.1,24,   11.1,24, 1037.5,24, 9999.9, 0,   8.0,24,   9.5,24,  15.0, 999.9,   25.0*,  12.0*, 0.04G,  3.9, 001000,
