"","Kilfrost ABC-S plus Type IV_Group002GMIA0005_2014/20141216","Cryotech Polar Plus Type I_Group002GMIA0006_2014/20141216","Cryotech Polar Guard Advance Type IV_Group002GMIA0007_2014/20141216","Clariant Safewing MP IV Launch_Group002GMIA0008_2014/20141216","Clairent Octaflow EF Type I_Group002GMIA0009_2014/20141216","Clairient Maxflight 04 Type IV_Group002GMIA0010_2014/20141216","Kilfrost DF plus (88) Type I_Group003GMIA0001_2014/20141216","UCAR AD-49 Type IV_Group003GMIA0002_2014/20141216","UCAR PG Type I_Group003GMIA0003_2014/20141216","Cryotech E36 Pavement Pot. Acetate_Group003GMIA0004_2014/20141216","Sodium Formate pavement_Group003GMIA0005_2014/20141216","Clairient Maxflight 04 Type IV-redo_Group003GMIA0006_2014/20141216","Wavelength"
"118",0.674999613144686,1.23827073933897,3.32172276523643,0.416368889325961,0.117045645618117,0.15810783565747,6.21546219842775,1.56223506454965,0.523751109334813,-0.0105121573134987,0.12223668045758,0.194432118798224,449
"119",0.713219994460448,1.17386489434858,3.38910963764437,0.44742900228927,0.111672606178967,0.167313394306323,5.86266922316861,1.63157221976647,0.488441262960563,-0.00125419932874316,0.128449924877072,0.235616213837748,446
"120",0.726135122851844,1.08961665118461,3.42540490261421,0.444628907648445,0.103180809222888,0.145150633757735,5.4849179761562,1.6721568361641,0.464681552241011,-0.0110941717179309,0.127247160323579,0.224156027093218,443
"121",0.763159058824212,1.04207162954967,3.48038271200126,0.479573952038102,0.113931484350299,0.181313453500692,5.18034449404793,1.73975308060059,0.444895138914628,0.0178727061048362,0.149631477979327,0.286697283830834,440
"122",0.7662727578579,0.962838509740212,3.48231936763081,0.475267056550932,0.105120388542087,0.157350198182981,4.86399135086829,1.75298427136598,0.420225533657334,-0.00624455235797227,0.130779896223344,0.24204513272923,437
"123",0.782979429466374,0.927444600071105,3.511834451295,0.469390839638138,0.105296718077762,0.182841781794462,4.63790692490351,1.8018820389582,0.41571743320081,0.013867603056127,0.138996061988454,0.28394613385228,434
"124",0.792968850486309,0.885981945800992,3.51055468443578,0.497905796790486,0.107232853818122,0.192091589004762,4.43157616160066,1.81917063668439,0.396543825249831,0.00299730154331922,0.136998287836796,0.259214549304096,431
"125",0.801838059166794,0.853289951765721,3.53691772069071,0.493980739182035,0.0982784112339266,0.174008639460447,4.2904961473766,1.85386106827303,0.38177737962907,0.0200966692568839,0.134119693185019,0.272301605907488,428
"126",0.812889622039188,0.838269351906342,3.5606045185881,0.519854745573019,0.111070353746033,0.191443096452985,4.16704743053109,1.87618919555968,0.377474511861049,0.0184264283729244,0.130070509055888,0.27500738703533,425
"127",0.803059648936257,0.810063995230084,3.57339682527805,0.533715580951188,0.106803191661777,0.182781350432974,4.10477524451062,1.90365673054766,0.366619648555209,0.0355664818318476,0.133037063280953,0.270750172996406,422
"128",0.828888264684091,0.809751499455422,3.60858853843413,0.544115978492845,0.114585541063981,0.195085811183759,4.04985348385627,1.93849837528739,0.367028901225407,0.0544002504449916,0.144615533964121,0.290379415568986,419
"129",0.801536010299202,0.799767251193122,3.64242350995268,0.545531672502081,0.112686171592087,0.206001033115975,3.97599390911114,1.92448500728384,0.353468983678091,0.0548049040100568,0.12211429086765,0.236703356831702,416
"130",0.829516130341603,0.772376543346663,3.6613340228866,0.561000765465887,0.116391236313382,0.203233574499346,3.94968304978151,1.97686619266423,0.358300583467883,0.0782671816999187,0.149736233043446,0.2942556211665,413
"131",0.805117703566753,0.777767526025874,3.68989653105759,0.559796754679769,0.113735797558662,0.207400036874932,3.86747845191089,1.97185418175164,0.34653758376921,0.0809533907395398,0.124018365540396,0.271393898304278,410
"132",0.798418232104801,0.744837505719819,3.66824413707369,0.565142743150076,0.103722887461972,0.173960979518489,3.82645357360473,1.97779607860929,0.340799076936068,0.0853366351805877,0.152868307478043,0.287436334949588,407
"133",0.789166744406722,0.747669621481946,3.69053458077319,0.566592397642483,0.100622116043162,0.196924038398541,3.73460707162015,1.94758574353494,0.330074167060996,0.079011970477399,0.125551685260512,0.239164881976442,404
"134",0.743326471991164,0.718952896131684,3.6904659423986,0.563445143813365,0.101451909836178,0.192567681061645,3.67069323112552,1.9373535615529,0.318657512151144,0.0711681453580425,0.15544129942426,0.259509664986352,401
"135",0.744691705815061,0.712229795763245,3.6691121136905,0.564717355915526,0.111288421475493,0.170166772435498,3.56277182035514,1.89671414677874,0.311507521749594,0.0647638014582008,0.144265026390664,0.270398068653382,398
"136",0.700177174367676,0.691876297341312,3.6805516788215,0.561049187536175,0.102126408128231,0.187623108169816,3.48472764642386,1.87792205244312,0.290603802337679,0.052952055289868,0.15759925410732,0.24115306569379,395
"137",0.706955451666222,0.676026398318818,3.68427088482941,0.560103207070078,0.120691197946298,0.171175050649076,3.38301843450001,1.8661295123457,0.282094379017075,0.0542253059709304,0.157353095737699,0.239614496926038,392
"138",0.679249772573484,0.645421126326436,3.67626129825942,0.572217896380912,0.107711836555552,0.181745369368015,3.2357528500706,1.83574562243386,0.262663357909932,0.0454660141469488,0.161458656829362,0.224879790589718,389
"139",0.63944575217116,0.613569468251373,3.66869292273447,0.565624566492329,0.1035913923017,0.157924917632649,3.10937117477791,1.82783115530551,0.252631011277669,0.0493137821696592,0.161521927219044,0.226368697189468,386
"140",0.628766199310475,0.589768967305673,3.67123678334723,0.586220324632959,0.111457570991792,0.170205588615562,2.91921554522882,1.79592103616311,0.227335622815752,0.0380017715159018,0.164715962536604,0.215037782939904,383
"141",0.581905434127604,0.542151105849031,3.66245124163311,0.5837243531727,0.0953679973346083,0.146473920938866,2.77237355906343,1.76600436616502,0.214802759808241,0.0386463514011216,0.153561528584395,0.207369536171998,380
"142",0.578076767080309,0.518815436304196,3.66646028398888,0.606666640400273,0.11381597003915,0.158454468189601,2.57542606665797,1.75414223323739,0.194219140409286,0.0272582292620288,0.166933944365171,0.189214295621773,377
"143",0.558080627384021,0.476914751880692,3.66080248578943,0.619213889710736,0.107312086310549,0.132078881026648,2.43281896874414,1.75588827863302,0.195948189763214,0.0507553921405217,0.19055005908388,0.229185455914472,374
"144",0.533077882951978,0.448316803168835,3.6651915260086,0.631194794326625,0.108618185568467,0.152096368403872,2.18936704401243,1.71454574719371,0.164806889744207,0.0154992956506417,0.168933338398736,0.159084999666785,371
