"step","AIC","Deviance","Resid.Dev","Resid.Df","Correlation","Slope","Res.St.Error","PRESS","scope","response"
"",424.143477355021,NA,414.874019378562,101,NA,NA,NA,NA,"","CODcens"
"+ Sag281_299",377.927854275099,50.8503520681518,364.02366731041,100,0.741896411392456,0.385693930216324,1.43042396778624,2052029512.93068," + Sag281_299","CODcens"
"+ log(A473)",304.517470004882,78.0451132584467,285.978554051963,99,0.788644347143527,0.713471062241314,0.984212230223113,3604491732.21115," + Sag281_299 + log(A473)","CODcens"
"+ log(Sag281_299)",293.323881303436,15.8283176896757,270.150236362288,98,0.875681101746331,0.752717314730554,0.91601269999834,805267127.068355," + Sag281_299 + log(A473) + log(Sag281_299)","CODcens"
"+ log(Sag263_281)",290.903030357119,7.05557993454602,263.094656427741,97,0.860585232706684,0.768348457223843,0.889674821482185,880909494.177291," + Sag281_299 + log(A473) + log(Sag281_299) + log(Sag263_281)","CODcens"
"+ Sag263_293",287.147924117683,8.38983522766569,254.704821200076,96,0.865310514776262,0.78595614311806,0.858560304168508,566343290.10873," + Sag281_299 + log(A473) + log(Sag281_299) + log(Sag263_281) + Sag263_293","CODcens"
"+ Resids490",282.820819158738,8.96183394717534,245.7429872529,95,0.788546174348356,0.802797745269967,0.826280469009181,1129498497.52183," + Sag281_299 + log(A473) + log(Sag281_299) + log(Sag263_281) + Sag263_293 + Resids490","CODcens"
"+ log(Sag248_263)",282.645667748685,4.80988039828188,240.933106854619,94,0.809176506422399,0.811354662381872,0.811448549083494,1065555390.62681," + Sag281_299 + log(A473) + log(Sag281_299) + log(Sag263_281) + Sag263_293 + Resids490 + log(Sag248_263)","CODcens"
